index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Bad Ass,Protest? Fuck that.,Een protest? Over mijn lijk.
2,E1,E1_Farm_localization,Bad Ass,"Don't get me wrong, I support addressing the systemic issues pertaining to the Ass species.","Versta me niet verkeerd. Ik vind dat we over de problemen die ons, de soort der Ezels, benadelen, moeten spreken."
3,E1,E1_Farm_localization,Bad Ass,But you can't just demand your fucking jobs back.,Maar je kan toch verdomme toch niet zomaar jullie jobs terug eisen.
4,E1,E1_Farm_localization,Bad Ass,"It's technological PROGRESS, stupid.","Het is technologische VOORUITGANG, domkop."
5,E1,E1_Farm_localization,Bad Ass,What's the brilliant plan?,Wat is het geniale plan hier?
6,E1,E1_Farm_localization,Bad Ass,Gallop around the Village? Bray loudly? Hope for change?,Beetje rond het dorp galloperen? Luid balken? Hopen voor verandering?
7,E1,E1_Farm_localization,Bad Ass,Pathetic.,Zielig.
8,E1,E1_Farm_localization,Bad Ass,There's no going back to how things used to be.,We kunnen niet terug naar hoe het vroeger was.
9,E1,E1_Farm_localization,Bad Ass,Technologies and Machines are transforming the social order.,Technologie en Machines hebben onherroepelijk de sociale orde herschikt.
10,E1,E1_Farm_localization,Bad Ass,You need more than political protest—you need philosophical transformation.,Er is meer nodig dan een politiek protest. De filosofie moet verder transformeren.
11,E1,E1_Farm_localization,Bad Ass,Your concept of value and self-worth cannot and should not be defined by backward Humans from Bumpkin Village.,"Jullie idee van richting en eigenwaarde zou niet, en moet niet, worden bepaald door de averechtse Mensen van Klotegem."
12,E1,E1_Farm_localization,Bad Ass,There's gotta be another way out of this ridiculous situation...,Er moet een andere manier bestaan om uit deze belachelijke situatie te geraken...
13,E1,E1_Farm_localization,Bad Ass,Now leave me alone.,D'er uit nu. Laat me gerust.
14,E1,E1_Farm_localization,Bad Ass,I said ALONE.,"Kom jong, WEG!"
15,E1,E1_Farm_localization,Bad Ass,... zzz...,...zzz...
16,E1,E1_TheProtest_localization,Bad Ass,Fuck no.,"Kust mijn kloten, neen."
17,E1,E1_TheProtest_localization,Bad Ass,Get out of my face.,Maak dat je weg bent.
18,E2,E2_World_A1_localization,Bad Ass,What the fuck did you all do?,Wat hebben jullie hier godverdomme liggen doen?
19,E2,E2_World_A1_localization,Bad Ass,"I thought you were trying to get your jobs back, not burn everything to the ground.",Ik dacht dat jullie jullie jobs terug wouden pakken in plaats van alles plat te branden.
20,E2,E2_World_A1_localization,Bad Ass,I'll find Sad Ass and Sturdy Ass and take them to the river.,Ik zal Triestigaard en Stoere naar de rivier brengen.
21,E2,E2_World_A1_localization,Bad Ass,You find a way to stop the fire and save the Farm.,Zoek een manier om het vuur te blussen en de Boerderij te redden.
