index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Big Ass,"Good afternoon, Comrade.","Goeiemiddag, Kameraad."
2,E1,E1_Farm_localization,Big Ass,I'm fuelling up so that I can make tomorrow's Protest a huge success.,Ik ben aan het bijtanken zodat ik het Protest van morgen een groots succes kan maken.
3,E1,E1_Farm_localization,Big Ass,"Though, I feel guilty eating all this hay when the Miners are in Mourning.","Maar zoveel hooi eten doet me wat schuldig voelen, zeker nu de Mijn-Ezels middenin hun rouwproces zitten."
4,E1,E1_Farm_localization,Big Ass,It must be pretty bad down in the Mines if it can stop an Ass from eating.,Het moet er slecht uitzien in de Mijnen als een ezel daarna geen honger meer heeft.
5,E1,E1_Farm_localization,Big Ass,Glad I don't fit down there.,"Misschien best zo, ik geraak toch niet door die mijnschacht."
6,E1,E1_Farm_localization,Big Ass,*munch munch munch*,*njam njam njam*
7,E1,E1_Farm_localization,Big Ass,... .ZZZZZZ... ... .,...ZZZZZZZ...
8,E1,E1_TheProtest_localization,Big Ass,Poor Old Ass.,Arme Oude Zak.
9,E1,E1_TheProtest_localization,Big Ass,What a massive loss. Will the Protest continue?,Wat een drama. Gaat het Protest nog door?
10,E1,E1_TheProtest_localization,Big Ass,"Don't say that, Trusty. What would we do without you?","Laat dat, Trouwe. Wat zouden we zonder jou doen?"
11,E1,E1_TheProtest_localization,Big Ass,Well then I'm hungry to get started!,Ik ben klaar om te beginnen. Ik krijg er zelfs honger van.
12,E1,E1_TheProtest_localization,Big Ass,That's everyone. Now to the gate!,Iedereen is hier. Naar de poorten!
13,E1,E1_TheProtest_localization,Big Ass,Asses have always been the backbone of this Farm since time immemorial.,"Ezels zijn altijd al de ruggegraat van deze Hoeve geweest, sinds de dieren konden spreken."
14,E1,E1_TheProtest_localization,Big Ass,The weight of history is on our shoulders...,Het gewicht van onze geschiedenis drukt ons op de schouders.
15,E1,E1_TheProtest_localization,Big Ass,A grand idea.,Een groots idee.
16,E1,E1_TheProtest_localization,Big Ass,What an empty feeling...,Wat een leeg gevoel...
17,E1,E1_TheProtest_localization,Big Ass,But the Humans have belittled us.,Maar de Mensen hebben ons gekleineerd.
