index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding1_localization,Bleak Ass,The name is Bleak Ass.,De naam is Depressieve Ezel.
2,E7,E7_Holding1_localization,Bleak Ass,I came here with my Herd.,Ik ben hier aangekomen met mijn Kudde.
3,E7,E7_Holding1_localization,Bleak Ass,We used to work in the mountains carrying books to school children.,We werkten vroeger in de bergen... boeken dragen naar schoolkinderen.
4,E7,E7_Holding1_localization,Bleak Ass,Now I'm the only one of us left.,Nu ben ik de enige van ons die nog over is.
5,E7,E7_Holding1_localization,Bleak Ass,It's called a Factory...,Het heet een Fabriek...
6,E7,E7_Holding1_localization,Bleak Ass,But I call it Hell.,Maar ik noem het de Hel.
7,E7,E7_Holding1_localization,Bleak Ass,Good luck.,Veel geluk.
8,E7,E7_Holding1_localization,Bleak Ass,No one who goes through that door ever comes back....,"Niemand die door die deur gaat, komt ooit nog terug...."
9,E7,E7_Holding1_localization,Bleak Ass,There's only one way out of this place... in a box.,Er is maar één weg hier weg... in een kist.
10,E10,E10_Government_localization,Bleak Ass,Are you...?,Bent u...?
11,E10,E10_Government_localization,Bleak Ass,There are a lot of Humans gathering outside...,Er verzamelen zich veel Mensen buiten...
12,E10,E10_Government_localization,Bleak Ass,Tank-Machines... Flying-Machines...,Tank Machines... Vlieg Machines...
13,E10,E10_Government_localization,Bleak Ass,Maybe tell the Humans to listen to the silent ones.,Misschien de Mensen zeggen dat ze naar de stille moeten luisteren.
14,E10,E10_Government_localization,Bleak Ass,...sometimes quiet types have the best things to say.,...soms hebben de stille types de beste dingen te zeggen.
