index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Child Joey,Grandmother! Can I feed the cute donkey?,Groetmoe! Mag ik het ezeltje eten geven?
2,E1,E1_Farm_localization,Child Joey,Here donkey!,"Hier, ezeltje!"
3,E1,E1_Farm_localization,Child Joey,He he he! That tickles.,Hi-hi-hi! Dat kietelt.
4,E1,E1_Farm_localization,Child Joey,Why won't it do what I want?,Waarom doet hij niet wat ik wil?
5,E1,E1_Farm_localization,Child Joey,"Want more, donkey?","Wil je meer, ezeltje?"
6,E1,E1_Farm_localization,Child Joey,"Want more, donkey?","Wil je nog meer, ezeltje?"
7,E2,E2_ChildsHouse_localization,Child Joey,Hey! Over here! Under the bookcase!,Hé Hierzo! Onder de boekenkast!
8,E2,E2_ChildsHouse_localization,Child Joey,It's me! Joey!,Het ben ik! Luukske!
9,E2,E2_ChildsHouse_localization,Child Joey,Please donkey!,"Kom, ezeltje!"
10,E2,E2_ChildsHouse_localization,Child Joey,Get that bucket of water over there and stop this fire from burning me!,Breng die emmer water naar daar en zorg dat dit vuur mij niet verbrandt!
11,E2,E2_ChildsHouse_localization,Child Joey,Hey! Don't just stand there!,Hé! Stop met te lanterfanten!
12,E2,E2_ChildsHouse_localization,Child Joey,Why aren't you doing anything?,Waarom doe je niets?
13,E2,E2_ChildsHouse_localization,Child Joey,Animals are supposed to do what Humans say!,Dieren horen te doen wat de Mensen zeggen!
14,E2,E2_ChildsHouse_localization,Child Joey,OWIIIEEEEE! It hurts.,AAAAAUUUUW! Dat doet pijn!
15,E2,E2_ChildsHouse_localization,Child Joey,Grandma always said donkeys were WORTHLESS!,Grootmoe zei altijd al dat ezels WAARDELOOS zijn!
16,E2,E2_ChildsHouse_localization,Child Joey,And STUPID too!,En nog eens DOM ook!
17,E2,E2_ChildsHouse_localization,Child Joey,I bet you don't even have a SOUL!,Ik ben er zeker van dat je niet eens een ZIEL hebt.
18,E2,E2_ChildsHouse_localization,Child Joey,*WAHHH* The bookcase has caught FIRE!,*WEEIIIII* De boekenkast staat in de fik!
19,E2,E2_ChildsHouse_localization,Child Joey,Please! SAVE ME!,Please! HELP MIJ!
