index,episode,sheet,speaker,english,dutch
1,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Hey—Hey—Hey...,Hey—Hey—Hey...
2,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Any chance you've got some of that Purple Stuff...?,Hebde gij misschien wat van dat Paarse Spul...?
3,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,"You know what I'm what I'm talking about, right?","Ge weet toch over wat ik het heb, hé?"
4,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Ya you do! The best damn drug we got in the Astral Plane...,"Ge weet over wat ik het heb, jong! Het beste spul dat we in het Astrale Hiernamaals kunnen vinden!"
5,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,"No? Oh my friend, it's best drug we got in the Astral Plane...","Ge weet over wat ik het heb, jong! Het beste spul dat we in het Astrale Hiernamaals kunnen vinden!"
6,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,I'm supposed to start my set soon and I REALLY can't play without that Purple Stuff.,Ik moet binnenkort beginnen en ik kan ECHT NIET spelen zonder wat van dat Paarse Spul.
7,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,"Help me out and bring me some, will you?","Doet mij een plezier en fix mij wat, oké?"
8,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Where's that Purple Stuff? I thought you were gonna get me that Purple Stuff?,Waar is dat Paarse Spul? Ik dacht dat gij mij wat van dat Paarse Spul ging fixen?
9,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,I REALLY need that Purple Stuff or I can't start my Concert!,Ik heb ECHT dat Paarse Spul nodig of ik kan mijn Concert niet starten!
10,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Booyah! I love that PURPLE STUFF!,JOOOOOOOOOW! Ik ben ZOT van dat Paarse Spul!
11,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,LET'S DO THIS!,LOSGAAN!
12,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,What's good my fellow ASSES!!,GOEDEAVOND MEDE-EZELS!!!!
13,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Thanks for coming out tonight to my SET!!,BEDANKT VOOR BUITEN TE KOMEN VOOR MIJN SET!!
14,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,"Whether you're a freakin' Newbie or you've been here for a thousand years, get ready to let LOOSE!!!","Of je een Nieuwkomertje bent of hier al DUIZEND JAAR ZIT, maak je klaar om te FEESTEN!"
15,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,Let me hear you say: Fuck Reassignment! I'm never going back!,Laat mij jullie horen: Fuck Heraanstelling! IK GA NOOIT MEER TERUG!
16,E4,E4_AstralPlaneMain_localization,DJ Dope Ass,BOOYAAAHH!!,JOEEEEEEEEEE!
