index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.
2,E1,E1_Farm_localization,Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD
3,E1,E1_TheProtest_localization,Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.
4,E1,E1_TheProtest_localization,Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD
5,E2,E2_World_A1_localization,Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.
6,E2,E2_World_A1_localization,Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD
7,E2,E2_World_B1_localization,Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.
8,E2,E2_World_B1_localization,Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD
9,E2,E2_World_B2_localization,Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.
10,E2,E2_World_B2_localization,Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD
