index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding1_localization,Edgy Ass,What was THAT?!,Wat was DAT?!
2,E10,E10_Government_localization,Edgy Ass,It can't be...,Da kan nie...
3,E10,E10_Government_localization,Edgy Ass,A Machine for a Prophet? That's crazy!,Een Machine voor een Profeet? Da's zot!
4,E10,E10_Government_localization,Edgy Ass,And it sounds like a Foal too!,En ze klinkt ook nog als een Veulen!
5,E10,E10_Government_localization,Edgy Ass,Tell the Humans to support—,Zeg de Mensen dat ze ons steunen—
6,E10,E10_Government_localization,Edgy Ass,"The Humans beat us, and even killed some of us too!","De Mensen hebben ons geslagen, en sommigen van ons zelfs vermoord!"
7,E10,E10_Government_localization,Edgy Ass,They're extremists!,Het zijn extremisten!
8,E10,E10_Government_localization,Edgy Ass,Tell the Humans to support—,Zeg de Mensen dat ze moeten steunen—
9,E10,E10_Government_localization,Edgy Ass,Tell the Humans to support and appreciate our creative endeavours.,Zeg tegen de Mensen dat ze onze creatieve inspanningen moeten steunen en waarderen.
10,E10,E10_Government_localization,Edgy Ass,No one seems to care about art these days.,Niemand lijkt zich nog iets aan te trekken van kunst tegenwoordig.
