index,episode,sheet,speaker,english,dutch
1,E9,E9_GoldenAss_localization,Golden Ass,SILENCE VASSALS!,STILTE VAZALLEN!
2,E9,E9_GoldenAss_localization,Golden Ass,WE ARE THE GODS OF CHANGE.,WIJ ZIJN DE GODEN VAN VERANDERING.
3,E9,E9_GoldenAss_localization,Golden Ass,WE ARE ALL POWERFUL!,WIJ ZIJN ALMACHTIG!
4,E9,E9_GoldenAss_localization,Golden Ass,SILENCE.,STILTE.
5,E9,E9_GoldenAss_localization,Golden Ass,We are speaking to you from the Astral Plane through the Vassal formerly known as Sick Ass.,"Wij spreken tot u vanuit het Astrale Hiernamaals, door de Vazal voordien bekend als Snot Ezel."
6,E9,E9_GoldenAss_localization,Golden Ass,*COUGH*,*KUCH*
7,E9,E9_GoldenAss_localization,Golden Ass,We are conducting a search for a suitable Prophet.,Wij zijn op zoek naar een geschikte Profeet.
8,E9,E9_GoldenAss_localization,Golden Ass,A Prophet spreads our holy message far and wide.,Een Profeet verspreidt onze heilige boodschap wijd en zijd.
9,E9,E9_GoldenAss_localization,Golden Ass,That a world in which Humans no longer have control over other living beings is coming.,Dat er een wereld op komst is waarin Mensen niet langer heerschappij voeren over andere levende wezens.
10,E9,E9_GoldenAss_localization,Golden Ass,That the time to rise up against Humans and end their rule is nigh.,Dat de tijd om op te staan tegen de Mensen en hun heerschappij te beëindigen nabij is.
11,E9,E9_GoldenAss_localization,Golden Ass,They ride upon our back and convert enemies into allies everywhere we go.,"Een Profeet rijdt op onze rug en bekeert vijanden tot bondgenoten, overal waar wij gaan."
12,E9,E9_GoldenAss_localization,Golden Ass,We shall build a world in which Humans no longer have control over other living beings.,Wij zullen een wereld bouwen waarin Mensen geen controle meer hebben over andere levende wezens.
13,E9,E9_GoldenAss_localization,Golden Ass,We shall rise up against Humans and end their rule.,Wij zullen opstaan tegen de Mensen en hun heerschappij beëindigen.
14,E9,E9_GoldenAss_localization,Golden Ass,We shall now depart to find our next Human Proph—,Wij zullen nu vertrekken om onze volgende Menselijke Prof—
15,E9,E9_GoldenAss_localization,Golden Ass,We have changed our minds.,Wij zijn van gedachten veranderd.
16,E9,E9_GoldenAss_localization,Golden Ass,One of you two Machines shall become our Prophet.,Eén van u beide Machines zal onze Profeet worden.
17,E9,E9_GoldenAss_localization,Golden Ass,"That is not for us Gods to decide, but rather for each and every user of a Machine.","Dat is niet aan ons Goden om te beslissen, maar wel aan elke gebruiker van een Machine."
18,E9,E9_GoldenAss_localization,Golden Ass,We see no future in Absolutes.,Wij zien geen toekomst in het Absolute.
19,E9,E9_GoldenAss_localization,Golden Ass,A true Vassal must be able to carry the weight of History and Progress together.,Een waarachtig Vazal moet het gewicht van Geschiedenis én Vooruitgang samen kunnen dragen.
20,E9,E9_GoldenAss_localization,Golden Ass,We shall now pick our Prophet:,Wij zullen nu onze Profeet aanwijzen:
21,E9,E9_GoldenAss_localization,Golden Ass,"Cole Butte, you shall be the next Prophet.","Piet Vanscheetvelde, gij zult de volgende Profeet zijn."
22,E9,E9_GoldenAss_localization,Golden Ass,You shall join the ranks of great leaders from across time immemorial.,Gij zult toetreden tot de gelederen der grote leiders uit alle tijden des heugenis.
23,E9,E9_GoldenAss_localization,Golden Ass,As the Prophet you shall go down in History as the first Prophet-Machine.,Als de Profeet zult gij de Geschiedenis ingaan als de eerste Profetische Machine.
24,E9,E9_GoldenAss_localization,Golden Ass,You shall be imbued with the Power to promote a radical new vision of the world.,Gij zult worden doordrongen van de Macht om een radicale nieuwe visie op de wereld uit te dragen.
25,E9,E9_GoldenAss_localization,Golden Ass,Cole Butte.,Piet Vanscheetvelde.
26,E9,E9_GoldenAss_localization,Golden Ass,You know in your Soul that a philosophical transformation is necessary now more than ever.,Ge weet in uw Ziel dat een filosofische transformatie nu meer dan ooit noodzakelijk is.
27,E9,E9_GoldenAss_localization,Golden Ass,You are living proof that Humans have the ability to transcend their station.,Gij bent het levende bewijs dat Mensen het vermogen hebben om te veranderen.
28,E9,E9_GoldenAss_localization,Golden Ass,If you wish.,Indien gij dat wenst.
29,E9,E9_GoldenAss_localization,Golden Ass,No.,Neen.
30,E9,E9_GoldenAss_localization,Golden Ass,Excellent. Climb onto our back and let us fly on the Winds of Revolution!,Voortreffelijk. Bestijg onze rug en laat ons vliegen op de Winden der Revolutie!
31,E9,E9_GoldenAss_localization,Golden Ass,"Let us depart, Prophet.","Laat ons vertrekken, Profeet."
32,E9,E9_GoldenAss_localization,Golden Ass,*COUGH COUGH*,*KUCH KUCH*
33,E9,E9_GoldenAss_localization,Golden Ass,No.,Neen.
34,E9,E9_GoldenAss_localization,Golden Ass,"{$NewName}, you shall be the next Prophet.","{$NewName}, gij zult de volgende Profeet zijn."
35,E9,E9_GoldenAss_localization,Golden Ass,You shall join the ranks of great leaders from across time immemorial.,Gij zult toetreden tot de gelederen der grote leiders uit alle tijden des heugenis.
36,E9,E9_GoldenAss_localization,Golden Ass,Get on our back for we have much work to do.,"Bestijg onze rug, want wij hebben veel werk te verrichten."
37,E9,E9_GoldenAss_localization,Golden Ass,Climb upon us and let us fly on the Winds of Revolution!,Bestijg ons en laat ons vliegen op de Winden der Revolutie!
38,E9,E9_GoldenAss_localization,Golden Ass,Your commitment to the cause shall be Eternal.,Uw toewijding aan de zaak zal Eeuwig zijn.
39,E9,E9_GoldenAss_localization,Golden Ass,As long as it takes until all life is freed from under the yoke of Human tyranny.,Zolang er leven onder het juk van de Mensen leeft.
40,E9,E9_GoldenAss_localization,Golden Ass,She is not yet ready to support your Movement.,Ze is nog niet klaar om uw Beweging te steunen.
41,E9,E9_GoldenAss_localization,Golden Ass,Only the passing of time shall tell how she will contribute to the cause.,Alleen het verstrijken van de tijd zal uitwijzen hoe zij zal bijdragen aan de zaak.
42,E9,E9_GoldenAss_localization,Golden Ass,"Let us depart, Prophet.","Laat ons vertrekken, Profeet."
43,E10,E10_Government_localization,Golden Ass,*COUGH*,*KUCH*
44,E10,E10_Government_localization,Golden Ass,"Excellent work, Vassals.","Uitstekend werk, Vazallen."
45,E10,E10_Government_localization,Golden Ass,*COUGH*,*KUCH*
46,E10,E10_Government_localization,Golden Ass,If only the apathetic Masses in the Astral Plane could meet Ass Souls of your caliber!,Konden de apathische Massa's in het Astrale Hiernamaals maar Ezel Zielen van uw kaliber ontmoeten!
47,E10,E10_Government_localization,Golden Ass,"I am one with many names: The Gods, HEE and HAW, Janus.","Wij zijn één met vele namen: De Goden, HIE en HAA, Janus."
48,E10,E10_Government_localization,Golden Ass,"I am one with many names: The Gods, HEE and HAW, Janus.","Wij zijn één met vele namen: DE GODEN, HIE en HAA, Janus."
49,E10,E10_Government_localization,Golden Ass,"But yes, I am indeed the Golden Ass.","Maar ja, ik ben inderdaad de Gouden Ezel."
50,E10,E10_Government_localization,Golden Ass,"But yes, I am indeed the Golden Ass.","Maar ja, ik ben inderdaad de Gouden Ezel."
51,E10,E10_Government_localization,Golden Ass,I've come to lend my godly powers to the cause.,Ik ben gekomen om Onze goddelijke krachten ten dienste te stellen van de zaak.
52,E10,E10_Government_localization,Golden Ass,I've come to lend my godly powers to the cause.,Ik ben gekomen om Onze goddelijke krachten ten dienste te stellen van de zaak.
53,E10,E10_Government_localization,Golden Ass,"Behold, here with me, a special Prophet-Machine for the Humans to worship!","Aanschouwt, hier bij Ons, een bijzondere Profetische Machine voor de Mensen om te aanbidden!"
54,E10,E10_Government_localization,Golden Ass,"Behold, here with me, a special Prophet-Machine for the Humans to worship!","Aanschouwt, hier bij Ons, een bijzondere Profetische Machine voor de Mensen om te aanbidden!"
55,E10,E10_Government_localization,Golden Ass,A wonderful collaboration! Just like old times.,Een wonderbaarlijke samenwerking! Geheel zoals in de dagen van weleer.
56,E10,E10_Government_localization,Golden Ass,"Prophet, our first act will be to talk to these Asses.","Profeet, onze eerste daad zal zijn deze Ezels toe te spreken."
57,E10,E10_Government_localization,Golden Ass,We shall assemble an inspiring Manifesto for you to present to the Human public.,Wij zullen een inspirerend Manifest samenstellen dat gij aan het Menselijke publiek zult voorleggen.
58,E10,E10_Government_localization,Golden Ass,It shall be the first step towards winning Human allies to our cause.,Het zal de eerste stap zijn naar het winnen van Menselijke bondgenoten voor onze zaak.
59,E10,E10_Government_localization,Golden Ass,"SILENCE. You all have a lot to say, but we shall assemble this Manifesto in an orderly fashion.","STILTE. Gij allen hebt veel te zeggen, maar wij zullen dit Manifest op ordelijke wijze samenstellen."
60,E10,E10_Government_localization,Golden Ass,"Spread out, Vassals.","Verspreid u, Vazallen."
61,E10,E10_Government_localization,Golden Ass,You shall all be heard.,Gij zult allen gehoord worden.
62,E10,E10_Government_localization,Golden Ass,"Prophet, we must keep our demands succinct.","Profeet, wij dienen onze eisen beknopt te houden."
63,E10,E10_Government_localization,Golden Ass,Choose the five best ideas from these Vassals and add them to the Manifesto.,Kies de vijf beste ideeën uit deze Vazallen en voeg ze toe aan het Manifest.
64,E10,E10_Government_localization,Golden Ass,"After you fill your Manifesto, you can always replace a previous idea by choosing a new one.","Nadat gij uw Manifest hebt gevuld, kunt gij te allen tijde een vorig idee vervangen door een nieuw te kiezen."
65,E10,E10_Government_localization,Golden Ass,A wonderful collaboration! Just like old times.,Een wonderbaarlijke samenwerking! Net als in de goede oude tijd.
66,E10,E10_Government_localization,Golden Ass,"Prophet, our first act will be to talk to these Asses.","Profeet, onze eerste daad zal zijn deze Ezels toe te spreken."
67,E10,E10_Government_localization,Golden Ass,We shall assemble an inspiring Manifesto for you to present to the Human public.,Wij zullen een inspirerend Manifest samenstellen dat gij aan het Menselijke publiek zult voorleggen.
68,E10,E10_Government_localization,Golden Ass,"It shall change their philosophies about Asses, about Life, about Everything!","Het zal hun filosofieën omtrent Ezels, omtrent het Leven, omtrent Alles doen veranderen!"
69,E10,E10_Government_localization,Golden Ass,"SILENCE. You all have a lot to say, but we shall assemble this Manifesto in an orderly fashion.","STILTE. Gij hebt allen veel te zeggen, maar wij zullen dit Manifest op ordelijke wijze samenstellen."
70,E10,E10_Government_localization,Golden Ass,"Spread out, Vassals.","Spreid u uit, Vazallen."
71,E10,E10_Government_localization,Golden Ass,You shall all be heard.,Gij zult allen gehoord worden.
72,E10,E10_Government_localization,Golden Ass,"Prophet, we must keep our demands succinct.","Profeet, wij dienen onze eisen bondig te houden."
73,E10,E10_Government_localization,Golden Ass,Choose the five best ideas from these Vassals and add them to the Manifesto.,Kies de vijf beste ideeën uit deze Vazallen en voeg ze toe aan het Manifest.
74,E10,E10_Government_localization,Golden Ass,"After you fill your Manifesto, you can always replace a previous idea by choosing a new one.","Nadat gij uw Manifest hebt gevuld, kunt gij steeds een vorig idee vervangen door een nieuw te kiezen."
75,E10,E10_Government_localization,Golden Ass,"Prophet, are you ready to begin?","Profeet, zijt gij gereed om aan te vangen?"
76,E10,E10_Government_localization,Golden Ass,"Our Manifesto is not yet finished, Prophet.","Ons Manifest is nog niet voltooid, Profeet."
77,E10,E10_Government_localization,Golden Ass,Are you ready to speak to the Humans?,Bent gij bereid om u tot de mensen te wenden?
78,E10,E10_Government_localization,Golden Ass,*COUGH*,*KUCH*
79,E10,E10_Government_localization,Golden Ass,*COUGH*,*KUCH*
80,E10,E10_Government_localization,Golden Ass,Your sister gave her Soul to us so that we might return to this World and save it.,"Uw zuster heeft haar Ziel aan ons geschonken, opdat wij tot deze Wereld mochten wederkeren en haar te redden."
81,E10,E10_Government_localization,Golden Ass,Your sister gave her Soul to us so that we might return to this World and save it.,Uw zuster heeft haar Ziel aan ons geschonken opdat wij naar deze Wereld konden terugkeren en haar redden.
82,E10,E10_Government_localization,Golden Ass,That is not true. You may join us on the steps as we push on into the future.,"Dat is niet waar. Gij moogt u bij ons voegen op de treden, terwijl wij voortschrijden naar de toekomst."
83,E10,E10_Government_localization,Golden Ass,That is not true. You may join us on the steps as we push on into the future.,"Dat is niet waar. Gij moogt u bij ons voegen op de treden, terwijl wij voortschrijden naar de toekomst."
84,E10,E10_ProphetSpeech_localization,Golden Ass,"Speak to them, Prophet! Share the demands of our Asses with the Humans of this city.","Spreek tot hen, Profeet! Deel de eisen van onze Ezels met de Mensen van deze stad."
85,E10,E10_ProphetSpeech_localization,Golden Ass,Win their hearts with honesty and truth.,Win hun harten met eerlijkheid en waarheid.
86,E10,E10_ProphetSpeech_localization,Golden Ass,May your followers remember this day as your first holy Mass.,Mogen uw volgelingen deze dag herinneren als uw eerste heilige Mis.
87,E10,E10_ProphetSpeech_localization,Golden Ass,Perfect.,Perfect.
88,E10,E10_ProphetSpeech_localization,Golden Ass,Now invite everyone to sing with us.,Nodig nu iedereen uit om met ons te zingen.
89,E10,E10_ProphetSpeech_localization,Golden Ass,Let their voices reverberate through the bodies of this crowd!,Laat de stemmen weergalmen door de lichamen van deze menigte!
