index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Grandma Kulan,Of course! Offer it some oats.,Natuurlijk! Geef het wat haver.
2,E1,E1_Farm_localization,Grandma Kulan,"Donkeys aren't very smart, honey. Come on, let's go home.","Ezeltjes zijn niet zo slim, schat. Kom, we gaan naar huis."
3,E1,E1_Farm_localization,Grandma Kulan,"Come along, darling. This donkey seems greedy.","Kom, we gaan, schat. Dit ezeltje is wat gierig."
4,E5,E5_CircusMain_localization,Grandma Kulan,"Mme. Derriere, may I have moment of your time?","Mevr. Derrière, heeft u een momentje?"
5,E5,E5_CircusMain_localization,Grandma Kulan,My darling Joey would have loved this show.,Mijn kleinzoon Luukske zou zo van de voorstelling genoten hebben.
6,E5,E5_CircusMain_localization,Grandma Kulan,But his life was cut short during the tragic fires of Bumpkin Village exactly 6 months and 3 weeks ago.,Maar zijn leven is vroegtijdig ten einde gekomen in de brand van Muilegem — exact 6 maand en 3 weken geleden.
7,E5,E5_CircusMain_localization,Grandma Kulan,"With all your power and resources, will you prevent fires like Bumpkin's from ever happening again?","Met al je vermogen en invloed, ga je ervoor zorgen dat zulke dramas, zoals die van Muilegem, zich toch niet meer herhalen?"
8,E5,E5_CircusMain_localization,Grandma Kulan,Oh my! Really?,Oh? Meen je dat echt?
9,E5,E5_CircusMain_localization,Grandma Kulan,But I don't even have the strength to go back and visit Bumpkin...,Maar ik heb zelfs de kracht niet om terug te gaan voor een bezoek aan Muilegem...
10,E5,E5_ZooMain_localization,Grandma Kulan,Sigh... Joey would have loved this...,Zucht...Luukske zou dit geweldig gevonden hebben...
11,E5,E5_ZooMain_localization,Grandma Kulan,Thank you for coming to visit me everyday.,Bedankt om elke dag langs te komen.
12,E5,E5_ZooMain_localization,Grandma Kulan,Maybe donkeys do have souls after all...?,Misschien hebben Ezels dan toch zielen...?
13,E5,E5_ZooMain_localization,Grandma Kulan,I think I'm going to donate all my money to this Zoo.,Ik denk dat ik al mijn centen aan de Dierentuin ga doneren.
14,E5,E5_ZooMain_localization,Grandma Kulan,Thank you donkey!,Danku ezeltje!
