index,episode,sheet,speaker,english,dutch
1,E4,E4_AstralPlaneMain_localization,Greedy Ass,"Ah shaddup, let's make another wager! Double or nothin'—Winner gets two 'oof Jobs!",Och zwijgt! Nog een weddenschap. Dubbel of niets— de Winnaar krijgt twee hoefbeurtjes!
2,E4,E4_AstralPlaneMain_localization,Greedy Ass,You kiddin' me? Only fifty more? Fuggetaboutit!,"Wat!? Maar vijftig meer? Laat maar zitten, jong."
3,E4,E4_AstralPlaneMain_localization,Greedy Ass,What about you? You wanna bet?,En jij? Wilde gokken?
4,E4,E4_AstralPlaneMain_localization,Greedy Ass,I knew she was the gambling type!,Ik wist dat ze een gat in haar hand had!
5,E4,E4_AstralPlaneMain_localization,Greedy Ass,No? Don't be a Loser! It's just a little bit of fun!,Nee? Niet flauw doen! 't Is maar voor de lol!
6,E4,E4_AstralPlaneMain_localization,Greedy Ass,You like fun don't you?,"Jij hebt toch graag lol, of niet?"
7,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}? Are things that bad in the land of the livin'? Fuggetaboutit! Yeesh!,"{$Number}? Is het zo pover gesteld in het land der levenden? Laat maar zitten, jong! Gadver!"
8,E4,E4_AstralPlaneMain_localization,Greedy Ass,"{$Number}, don't worry—a number that high? We won't forget.","{$Number}, geen zorgen — zo hoog? Dat gaan we niet snel vergeten."
9,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}. Pretty reasonable.,{$Number}. Redelijk.
10,E4,E4_AstralPlaneMain_localization,Greedy Ass,For a Loser!,Voor een loser!
11,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}? You gotta play big to win big!,{$Number}? Hard gaan om hard te winnen!
12,E4,E4_AstralPlaneMain_localization,Greedy Ass,"{$Number}... Modest. Playing it safe, are ya?","{$Number}... Matig. We houden het rustig, zeker?"
13,E4,E4_AstralPlaneMain_localization,Greedy Ass,Like a Loser!,Zoals een loser!
14,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}... Let's see if the numbers work in your favour!,{$Number}...Laten we eens zien of de nummers in jouw voordeel spelen!
15,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}? Not in your life! We ain't had a night that low in weeks!,{$Number}? Nooit van z'n leven! Het is echt al weken geleden dat we zo tegen de grond lagen!
16,E4,E4_AstralPlaneMain_localization,Greedy Ass,{$Number}. Sheesh. How low can you go?,{$Number}. Gadver. Hoe laag kun je gaan?
17,E4,E4_AstralPlaneMain_localization,Greedy Ass,Why do the Newbies always guess 69? Fuggetaboutit!,"Waarom moeten de Nieuwkomertjes altijd 69 inzetten? Laat maar zitten, jong!"
