index,episode,sheet,speaker,english,dutch
1,E1,E1_RedFields_localization,Happy Ass,Hello Newbie!,"Hoi, Nieuweling."
2,E1,E1_RedFields_localization,Happy Ass,We're here to help with your welcome ritual.,We zijn hier om te helpen met je welkomstritueel.
3,E1,E1_RedFields_localization,Happy Ass,Which one of us will you choose?,Wie van ons zal je kiezen?
4,E1,E1_RedFields_localization,Happy Ass,"Great choice, Newbie.","Mooie keuze, Nieweling."
5,E1,E1_RedFields_localization,Happy Ass,Follow your instincts and feel the love!,Volg je instinct en Feel The Love!
6,E4,E4_AstralPlaneMain_localization,Happy Ass,Oh boy. Another one. I almost didn't see you.,Jemig. Nog eentje. Ik zag je bijna niet aankomen.
7,E4,E4_AstralPlaneMain_localization,Happy Ass,I'm doing the welcome ritual for Newbies today.,Ik doe het welkomstritueel voor de Nieuwkomertjes vandaag.
8,E4,E4_AstralPlaneMain_localization,Happy Ass,But there's been over 400 of you already... so I'm a bit... sore.,D'r zijn vandaag al 400 zoals jij gepasseerd... dus ik ben een beetje... stijf.
9,E4,E4_AstralPlaneMain_localization,Happy Ass,But it's really great that you're here. You're going to love it.,Maar goed dat je hier bent. Je gaat dit geweldig vinden.
10,E4,E4_AstralPlaneMain_localization,Happy Ass,Make sure to check out the Concert tonight in the Pond of Hehehehe!,Ga zeker langs het Concert in de Vijver van Vermaak!
11,E4,E4_AstralPlaneMain_localization,Happy Ass,It's going to be 7 and a half hours of AWESOME.,Dat wordt 7 en half uur of TOPFUN.
12,E4,E4_AstralPlaneMain_localization,Happy Ass,Head on up over the hill!,Ga de heuvel op!
