index,episode,sheet,speaker,english,dutch
1,E4,E4_AstralPlaneMain_localization,Hasty Ass,You're new! Wanna race? I'm pretty fast! You'll see!,Ben jij nieuw hier! Wil je racen? Ik ben redelijk snel! Je zal wel zien!
2,E4,E4_AstralPlaneMain_localization,Hasty Ass,Come on! You down? Let's go? Let's go!!,"Kom! Heb je zin? Zullen we racen? Kom, we racen!!"
3,E4,E4_AstralPlaneMain_localization,Hasty Ass,Hell yeah new friendo!,"Hupsakéé, nieuwe vrienden!"
4,E4,E4_AstralPlaneMain_localization,Hasty Ass,Let's take the scenic route.\n,We pakken de mooie route. \n
5,E4,E4_AstralPlaneMain_localization,Hasty Ass,Let's go let's go let's go!,Let's go let's go let's go!
6,E4,E4_AstralPlaneMain_localization,Hasty Ass,FUN!,LEUK!
7,E4,E4_AstralPlaneMain_localization,Hasty Ass,No? Shame! Ah well. I'll be here. Ready to race. Always ready!,Nee? Jammer! Moest je terug zin hebben ben ik hier. Ik ben altijd klaar om te racen!
8,E4,E4_AstralPlaneMain_localization,Hasty Ass,Wanna race now?,Wil je nu racen?
9,E4,E4_AstralPlaneMain_localization,Hasty Ass,Not even close! Hah! Maybe next time.,Dat was nauwelijks een race! Hah! Misschien de volgende keer.
10,E4,E4_AstralPlaneMain_localization,Hasty Ass,Or not! Who knows?,Of niet! Wie weet?
11,E4,E4_AstralPlaneMain_localization,Hasty Ass,Wait. Practice is practice.,Wacht. Oefenen is oefenen.
12,E4,E4_AstralPlaneMain_localization,Hasty Ass,Wanna race again?,Wil je opnieuw racen?
13,E4,E4_AstralPlaneMain_localization,Hasty Ass,Wanna race again?,Wil je opnieuw racen?
14,E4,E4_AstralPlaneMain_localization,Hasty Ass,Let's go!,Let's go!
15,E4,E4_AstralPlaneMain_localization,Hasty Ass,No? Shame! Ah well. I'll be here. Ready to race. Always ready!,Nee? Jammer! Moest je terug zin hebben ben ik hier. Ik ben altijd klaar om te racen!
16,E4,E4_AstralPlaneMain_localization,Hasty Ass,WHEW. You're FAST! I like that. I really like that!,WOW. Jij bent SNEL! Goed. Dat kan ik smaken!
17,E4,E4_AstralPlaneMain_localization,Hasty Ass,"You're breathtaking! As in, I can't breathe! Whew!","ADEMBENEMEND! Als in, ik kan niet ademen. WOW!"
