index,episode,sheet,speaker,english,dutch
1,E8,E8_TheGods_localization,Hee,We are the Gods of beginnings and ends.,Wij zijn de Goden van het begin en het einde.
2,E8,E8_TheGods_localization,Hee,Of transition and change.,Van overgang en verandering.
3,E8,E8_TheGods_localization,Hee,"Vassal Trusty Ass, step forward.","Vazal Trouwe Ezel, stap naar voren."
4,E8,E8_TheGods_localization,Hee,"By arriving here, you have proven yourself ready to return to the Material World.","Door hier te verschijnen, hebt gij uzelf gereed bewezen om terug te keren naar de Materiële Wereld."
5,E8,E8_TheGods_localization,Hee,Vassal Sick Ass. Step forward.,Vazal Snot Ezel. Stap naar voren.
6,E8,E8_TheGods_localization,Hee,We have decided your Soul will not undergo Reassignment.,Wij hebben besloten dat uw Ziel geen Heraanstelling zal ondergaan.
7,E8,E8_TheGods_localization,Hee,"Instead, you have been selected for a Special Position and the highest privilege that we can bestow upon a Vassal.",In plaats daarvan zijt gij uitverkoren voor een Bijzondere Positie en het hoogste privilege dat wij aan een Vazal kunnen verlenen.
8,E8,E8_TheGods_localization,Hee,"Once upon a time, our Vassals and their labours were seen as sacred.","Eens, in een ver verleden, werden onze Vazallen en hun arbeid als heilig beschouwd."
9,E8,E8_TheGods_localization,Hee,"They were worshipped and loved by all for their generosity, especially by Humans.","Zij werden aanbeden en bemind door allen voor hun edelmoedigheid, in het bijzonder door de Mensen."
10,E8,E8_TheGods_localization,Hee,"But, after centuries of collaboration between Asses and Humans, our Vassals are worshipped no more.","Maar, na eeuwen van samenwerking tussen Ezels en Mensen, worden onze Vazallen niet langer aanbeden."
11,E8,E8_TheGods_localization,Hee,"The Humans, who once begged us for our Powers of Change and for whom we have fought so many wars, now play at being gods of change themselves.","De Mensen, die ooit bij ons smeekten om onze Krachten van Verandering en voor wie wij zo vele oorlogen hebben gevoerd, spelen thans zelf voor goden van verandering."
12,E8,E8_TheGods_localization,Hee,Our Vassals now return to the Astral Plane shaken by endless suffering and corrupted by apathy.,"Onze Vazallen keren terug naar het Astrale Hiernamaals, geschonden door eindeloos lijden en verdorven door onverschilligheid."
13,E8,E8_TheGods_localization,Hee,"Yes, to become the Golden Ass is to become one with us and the Universe.","Ja, de Gouden Ezel worden is één worden met ons en het Universum."
14,E8,E8_TheGods_localization,Hee,Your Soul will never undergo Reassignment again.,Uw Ziel zal nooit meer Heraanstelling ondergaan.
15,E8,E8_TheGods_localization,Hee,"No, your Soul will never undergo Reassignment again.","Neen, uw Ziel zal nooit meer Heraanstelling ondergaan."
16,E8,E8_TheGods_localization,Hee,To become the Golden Ass is to become one with us and the Universe.,De Gouden Ezel worden is één worden met ons en het Universum.
17,E8,E8_TheGods_localization,Hee,Shall we do Operation Coup d'Etat?,Zullen wij Operatie Staatsgreep uitvoeren?
18,E8,E8_TheGods_localization,Hee,Operation Peaceful March then?,Operatie Vredesmars dan?
19,E8,E8_TheGods_localization,Hee,I know.,Wij weten het.
20,E8,E8_TheGods_localization,Hee,What about Operation Prophet?,Wat denkt gij van Operatie Profeet?
21,E8,E8_TheGods_localization,Hee,We haven't used that in centuries!,Wij hebben dat in geen eeuwen meer ingezet!
22,E9,E9_GoldenAss_localization,Hee,Wait...,Wacht...
23,E9,E9_GoldenAss_localization,Hee,"Haw, are you thinking what I'm thinking?","Haa, denkt gij wat wij denken?"
24,E9,E9_GoldenAss_localization,Hee,"Either way, it would be wonderfully different.","Hoe dan ook, het zou wonderbaarlijk anders zijn."
25,E9,E9_GoldenAss_localization,Hee,But which one?,Maar welke van de twee?
26,E9,E9_GoldenAss_localization,Hee,The one full of enthusiasm yet lacking experience in the ways of the world?,"Degene vol geestdrift, doch zonder ervaring in de wijzen der wereld?"
27,E10,E10_ProphetSpeech_localization,Hee,"Operation Assassination, how did we not see it coming?","Operatie Moordaanslag, hoe hebben wij dit niet zien aankomen?"
28,E10,E10_ProphetSpeech_localization,Hee,What shall our next move be?,Wat zal onze volgende zet zijn?
