index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding1_localization,Helpful Ass,It sure helps to have other people looking out for you... will you do the same for me?,"t is toch wel plezant as ge andere mensen hebt die op u letten, weet ge... wil de 't zelfde doen voor mij?"
2,E7,E7_Holding1_localization,Helpful Ass,I saw a Human come in and fiddle with that thing on the wall over there.,'k Heb ne Mens zien binnenkomen en die zat daar te prutsen aan dat ding aan de muur daar.
3,E7,E7_Holding1_localization,Helpful Ass,Maybe you should touch it?,Misschien moet ge 't eens aanraken?
4,E10,E10_Government_localization,Helpful Ass,Are you the Golden Ass? The Gods incarnate?!,Zijde gij de Gouden Ezel?! DE GODEN in levenden lijve?!
5,E10,E10_Government_localization,Helpful Ass,How do we know the Humans will listen to that Machine?,"Maar hoe weten we nu da de Mensen naar da Machine gaan luisteren, weet ge?"
6,E10,E10_Government_localization,Helpful Ass,Say something in Human!,Zeg ne keer iets in 't Mens!
7,E10,E10_Government_localization,Helpful Ass,Tell them we've suffered so much—,Zegt ze da we zóveel geleden hebben—
8,E10,E10_Government_localization,Helpful Ass,Tell the Humans we've suffered so much—,Zeg tegen de Mensen da we zóveel geleden hebben—
9,E10,E10_Government_localization,Helpful Ass,Tell the Humans my story.,Vertelt de Mensen mijn verhaal.
10,E10,E10_Government_localization,Helpful Ass,I was born in a small village by the Ocean.,'k Ben geboren in een klein dorpke aan de Oceaan.
11,E10,E10_Government_localization,Helpful Ass,I used to carry baskets of Fish from the Harbour to the Human's market.,"'k Droeg altijd manden vol Vis van de Haven naar de markt van de Mens, weet ge."
12,E10,E10_Government_localization,Helpful Ass,It was real fun.,'t Was echt plezant.
13,E10,E10_Government_localization,Helpful Ass,You won't believe what happened next.,Ge gaat nie geloven wa da er toen gebeurd is.
14,E10,E10_Government_localization,Helpful Ass,Do you wanna know?,Wil de 't weten?
15,E10,E10_Government_localization,Helpful Ass,I lost my job.,'k Ben mijn job kwijtgespeeld.
16,E10,E10_Government_localization,Helpful Ass,"Whoda thunk it, but all the Fish eventually disappeared.","Wie had da nu gedacht, maar uiteindelijk waren al de Vissen verdwenen."
17,E10,E10_Government_localization,Helpful Ass,So I got a job working in the forestry business.,"Dus 'k heb nen job gevonden in de bosbouw, weet ge."
18,E10,E10_Government_localization,Helpful Ass,I was carrying trees day and night.,En dan heb 'k ne hele tijd rondgezworven tot da ze mij opgepikt hebben en naar die kwalijke Fabriek gebracht hebben.
19,E10,E10_Government_localization,Helpful Ass,It was a hoot!,'t Was plezant!
20,E10,E10_Government_localization,Helpful Ass,"But then, you won't believe what happened next.","Maar toen, ge gaat 't nie geloven wa da er dan gebeurd is."
21,E10,E10_Government_localization,Helpful Ass,Do you wanna know?,Wilde 't weten?
22,E10,E10_Government_localization,Helpful Ass,I lost my job!,'k ben mijn job kwijtgespeeld!
23,E10,E10_Government_localization,Helpful Ass,I was blindsided! Whodda thunk it! The trees all left.,'k Was compleet overdonderd! Wie had da nu gedacht! De bomen waren allemaal weg!
24,E10,E10_Government_localization,Helpful Ass,"I'da left too if I was them, getting cut down like.","'k Was ook vertrokken hé, als 'k in hun plaats zat, ge wordt daar zo afgezaagd hé."
25,E10,E10_Government_localization,Helpful Ass,I didn't wanna get cut down.,'k Wou ook nie omgekapt worden hé.
26,E10,E10_Government_localization,Helpful Ass,So I wandered a long while til I got pick up and taken to that evil Factory.,En dan heb 'k ne hele tijd rondgezworven tot da ze mij opgepikt hebben en naar die kwalijke Fabriek gebracht.
27,E10,E10_Government_localization,Helpful Ass,I was sure I was a goner.,"'k Was er geweest, dat wist 'k zeker."
28,E10,E10_Government_localization,Helpful Ass,"But then, you won't believe what happened next!","Maar toen, en ge gaat 't nie geloven, weet ge wa da er toen gebeurde!"
29,E10,E10_Government_localization,Helpful Ass,Do you wanna know?,Wilde 't weten?
30,E10,E10_Government_localization,Helpful Ass,Some special someone with a big heart let us out!,Nen speciale met een groot hart heeft ons buitengelaten!
31,E10,E10_Government_localization,Helpful Ass,Now I guess I'm here!,"En nu sta 'k hier, zeker!"
32,E10,E10_Government_localization,Helpful Ass,Thanks so much for listening to me.,"Merci da ge naar mij geluisterd hebt, hé."
33,E10,E10_Government_localization,Helpful Ass,Do you want to hear my story again?,"Wil de 't nog ne keer horen, mijn verhaal?"
