index,episode,sheet,speaker,english,dutch
1,E1,E1_TheProtest_localization,Kick Ass,You must be TRUSTY!,Jij moet Trouwe Zak zijn!
2,E1,E1_TheProtest_localization,Kick Ass,I'm KICK ASS and this is my Sister SICK ASS!,"Mijn naam is STAMP GAST en dit is mijn zus, SNOT GRIET!"
3,E1,E1_TheProtest_localization,Kick Ass,What happened to meeting AT THE BRIDGE?!,WAAR is de bijeenkomst op DE BRUG?!
4,E1,E1_TheProtest_localization,Kick Ass,Wait—where's OLD ASS?!,Wacht — WAAR IS OUDE ZAK?!
5,E1,E1_TheProtest_localization,Kick Ass,@#$%&! That makes me SO ANGRY!,@#$%&! Daar word ik nu eens KWAAD VAN!
6,E1,E1_TheProtest_localization,Kick Ass,LET'S PROTEST!,"KOM, WE PROTESTEREN!"
7,E1,E1_TheProtest_localization,Kick Ass,@#$%&! What do we DO?!,@#$%&! En WAT NU?
8,E2,E2_World_A1_localization,Kick Ass,"Let'er RIP, Hard Ass!","Laat u gaan, hè, Felle!"
9,E2,E2_World_B1_localization,Kick Ass,Send Big Ass!,Stuur Mega Ezel!
10,E3,E3_EpisodeTitle_localization,Kick Ass,She's doing HER BEST!,Ze doet HAAR BEST!
11,E3,E3_EpisodeTitle_localization,Kick Ass,@#$%&!,@#$%&!
12,E3,E3_Mine1FOpening_localization,Kick Ass,SICK ASS! @#$%&!,SNOTJE! Godver!
13,E3,E3_Mine1F_localization,Kick Ass,Does this LOOK LIKE A TIME FOR GAMES?!,Lijkt dit OP EEN MOMENT VOOR SPELLETJES?!
14,E3,E3_Mine1F_localization,Kick Ass,Sorry—@#$%&!—Aunty Sick is... pretty messed up right now.,Sorry—Godver!—Tante Snotje is… serieus slecht nu.
15,E3,E3_Mine1F_localization,Kick Ass,FIGHT IT!—FIGHT IT!,VECHT ERTEGEN!—VECHT!
16,E3,E3_Mine1F_localization,Kick Ass,Sick! Comrade! COME ON GIRL!,"Snotje! Kameraad! KOMAAN, MEISJE!"
17,E3,E3_Mine1F_localization,Kick Ass,Don't even THINK about going where I CAN'T FIND YOU!,Ge gaat er zelfs nie aan dénken om te gaan waar ik u NIE KAN VINDEN!
18,E3,E3_Mine1F_localization,Kick Ass,AT EASE? @#$%&!!!!,RUSTIG? Godverdomme!!!!
19,E3,E3_Mine1F_localization,Kick Ass,Staying out in the rain every day was YOUR STUPID idea!,Elke dag in de regen blijven was UW STOM IDEE!
20,E3,E3_Mine1F_localization,Kick Ass,"And for what, HUH?","En voor wat, HÈ?"
21,E3,E3_Mine1F_localization,Kick Ass,FOR WHAT?!,VOOR WAT?!
22,E4,E4_HideAndSeek_localization,Kick Ass,Sick Ass? Are you with me?,Snotezel? Ben je daar?
23,E4,E4_HideAndSeek_localization,Kick Ass,@#$%&! SICK?!,@#$%&! SNOTJE?!
24,E4,E4_HideAndSeek_localization,Kick Ass,Hey sis'—it's BREAK TIME!,Hey zusje — tijd voor een PAUZEKE!
25,E4,E4_HideAndSeek_localization,Kick Ass,Wanna play HIDE AND SEEK?,Wil je VERSTOPPERTJE spelen?
26,E4,E4_HideAndSeek_localization,Kick Ass,Yes? GREAT!,Ja? GEWELDIG!
27,E4,E4_HideAndSeek_localization,Kick Ass,"No? Ha ha. Don't worry, I'll go easy on you.","Toch niet? Ha-ha. Geen zorgen, ik zal 't rustig houden."
28,E4,E4_HideAndSeek_localization,Kick Ass,I'll start COUNTING!,Ik zal beginnen TELLEN!
29,E4,E4_HideAndSeek_localization,Kick Ass,30 SECONDS!,30 SECONDEN!
30,E4,E4_HideAndSeek_localization,Kick Ass,Ready or not—HERE I COME!,Wie niet weg is — IS GEZIEN!
31,E4,E4_HideAndSeek_localization,Kick Ass,FOUND YOU!,GEVONDEN!
32,E4,E4_HideAndSeek_localization,Kick Ass,"That was awesome, WASN'T IT? Let's play AGAIN!","Dat was leuk, he! NOG een KEER!"
33,E4,E4_HideAndSeek_localization,Kick Ass,You're my sister and I'll always FIND YOU.,Jij bent mijn zusje en ik zal jou ALTIJD VINDEN.
34,E4,E4_HideAndSeek_localization,Kick Ass,Even if you're down in the deepest corner of the Mine!,Zelfs als zit je in het donkerste hoekje van de Mijn!
