index,episode,sheet,speaker,english,dutch
1,E3,E3_LazysGrave_localization,Lazy Ass,I'm Lazy.,Ik ben Luie Zak.
2,E3,E3_LazysGrave_localization,Lazy Ass,Just hanging out.,Gewoon aan 't chillen.
3,E3,E3_LazysGrave_localization,Lazy Ass,Look around if you want. Knock yourself out.,Kijk gerust rond als ge wilt. Doe uw goesting.
4,E3,E3_LazysGrave_localization,Lazy Ass,Oh you've found the rock that crushed my head.,"Ah ja, ge hebt de steen gevonden die mijn kop heeft geplet."
5,E3,E3_LazysGrave_localization,Lazy Ass,I guess so. Don't really remember much from before that.,'k Denk het wel. 'k Herinner mij nie veel van daarvoor.
6,E3,E3_LazysGrave_localization,Lazy Ass,There was no Ass around to sing for me. There was only the Boss's son.,Er was geen Ezel om voor mij te zingen. Er was alleen de zoon van de Baas.
7,E3,E3_LazysGrave_localization,Lazy Ass,I think I tried to ascend myself... but I guess that failed.,'k Denk dat ik mezelf heb proberen op te laten stijgen... maar dat is precies mislukt.
8,E3,E3_LazysGrave_localization,Lazy Ass,"Nah, it's too late.","Nee, 't is te laat."
9,E3,E3_LazysGrave_localization,Lazy Ass,But hey! Good news is: there's no work here.,Maar hey! Goed nieuws: er is hier geen werk.
10,E3,E3_LazysGrave_localization,Lazy Ass,"Of course, bad news is there's also no way out.","Natuurlijk, slecht nieuws is dat er ook geen uitweg is."
11,E3,E3_LazysGrave_localization,Lazy Ass,"Just get comfortable. ""Boredom is Freedom"", ya know?","Maak het u gemakkelijk. ""Verveling is Vrijheid"", weet ge wel?"
12,E3,E3_LazysGrave_localization,Lazy Ass,"Hey, nice look.","Hey, schoon petje."
13,E3,E3_LazysGrave_localization,Lazy Ass,"Ya know, if I had worn that helmet, maybe the rock would've exploded instead of my skull.","Weet ge, als ik die helm had gedragen, was misschien de steen ontploft in plaats van mijn schedel."
14,E3,E3_LazysGrave_localization,Lazy Ass,Hey! You found a way out. Cool.,Hey! Ge hebt een uitweg gevonden. Cool.
15,E3,E3_LazysGrave_localization,Lazy Ass,"Heads up, I won't remember you, if you come back.","Let op, 'k zal u nie herinneren als ge terugkomt."
16,E3,E3_LazysGrave_localization,Lazy Ass,My memory doesn't store stuff like it used to.,Mijn geheugen slaat geen dingen meer op zoals vroeger.
17,E3,E3_LazysGrave_localization,Lazy Ass,I don't even remember your name.,'k Herinner mij zelfs uw naam nie.
18,E3,E3_LazysGrave_localization,Lazy Ass,Did we have a good time hanging out?,Hebben we een leuke tijd gehad samen?
19,E3,E3_LazysGrave_localization,Lazy Ass,"Sister? Ha, sure. Peace out.","Zus? Ha, zeker. Later."
20,E3,E3_LazysGrave_localization,Lazy Ass,I dunno. I saw it on a sign once.,'k Weet nie. 'k Heb het ooit op een bord gezien.
21,E3,E3_LazysGrave_localization,Lazy Ass,That's cold.,Dat is koud.
22,E3,E3_LazysGrave_localization,Lazy Ass,"Hi, I'm Lazy! Cool hat.","Hoi, ik ben Luie! Toffe helm."
23,E3,E3_LazysGrave_localization,Lazy Ass,Thank you little one.,"Dank u, kleintje."
24,E3,E3_LazysGrave_localization,Lazy Ass,My dear Sad Ass...,Mijn lieve Triestigaard...
25,E3,E3_LazysGrave_localization,Lazy Ass,It's all coming back to me now.,Het komt allemaal terug nu.
26,E3,E3_LazysGrave_localization,Lazy Ass,But that smell... it reminds me of him.,Maar die geur... die doet mij aan hem denken.
27,E3,E3_LazysGrave_localization,Lazy Ass,"You see, my memory hasn't been working very well.","Ge ziet, mijn geheugen werkt nie meer zo goed."
28,E3,E3_LazysGrave_localization,Lazy Ass,I think I've been looking for that for a long time.,k Denk dat ik daar al lang naar aan 't zoeken was.
29,E3,E3_LazysGrave_localization,Lazy Ass,"To be honest, I don't even remember  your name.","Eerlijk gezegd, 'k herinner mij zelfs uw naam nie."
30,E6,E6_Nightmare_localization,Lazy Ass,Heyyyy Hard! Thanks for switching shifts with me.,Heyyy Bikkelharde! Merci da ge van shift wilt wisselen met mij.
31,E6,E6_Nightmare_localization,Lazy Ass,I love 'working' with Cole Butte.,'k werk zo graag samen met Piet Vanscheetvelde.
32,E6,E6_Nightmare_localization,Lazy Ass,We sit together on Level 300 while he talks about Robots and smokes.,We zitten samen op Niveau 300 terwijl hij over Robots klapt en rookt.
33,E6,E6_Nightmare_localization,Lazy Ass,"Boredom is freedom, ya know?","Verveling is Vrijheid, weet ge wel?"
34,E6,E6_Nightmare_localization,Lazy Ass,"Heyyyy Hard Ass, what's shakin'? Haha.","Heyyy Bikkelharde Ezel, wa hangt er? Haha."
35,E6,E6_Nightmare_localization,Lazy Ass,"These rocks are really coming down, eh?","Die stenen komen er echt goed af, hé?"
36,E6,E6_Nightmare_localization,Lazy Ass,You better get outta here.,Ge kunt beter maken da ge hier wegkomt.
37,E6,E6_Nightmare_localization,Lazy Ass,Tell Sad Ass not to worry—Cole's going to find us a way out.,Zeg tegen Triestige Ezel da hij nie moet piekeren—Piet Vanscheetvelde gaat nen uitweg voor ons vinden.
