index,episode,sheet,speaker,english,dutch
1,E5,E5_CircusMain_localization,Melvin,Wait... what if that sleazy Ringmaster is playing a trick on us?,"Wacht, wat als die vieze Circusdirecteur met onze voeten speelt?"
2,E5,E5_CircusMain_localization,Melvin,What if this one is ACTUALLY a lion and it's going to eat us.,"Wat als dit een ECHTE leeuw is, en die ons opeet?"
3,E5,E5_CircusMain_localization,Melvin,Then Rico can keep his animals AND our money.,Dan kan Baptiste zijn beesten EN zijn geld houden.
4,E5,E5_CircusMain_localization,Melvin,Where did it go?,Waar is ie naartoe?
5,E5,E5_CircusMain_localization,Melvin,EEEEE!!!! IT IS A LION!!!,AAAAAAA!!!! EEN LEEUW!!!!
6,E5,E5_ZooCapture_localization,Melvin,I thought you said there were going to be five?,Ik dacht dat je hier met vijf ging zijn?
7,E5,E5_ZooCapture_localization,Melvin,There was traffic.,Ik stond in de file.
8,E5,E5_ZooCapture_localization,Melvin,Hold on! I need 15 seconds to load my tranquilizer gun!,Wacht even! Ik heb 15 seconden nodig om mijn verdovingsgeweer te herladen!
9,E5,E5_ZooCapture_localization,Melvin,What's that sound?,Wat is dat geluid?
10,E5,E5_ZooCapture_localization,Melvin,The Truck's full! Let's get back to the Factory and get paid.,"De Camion zit vol! Kom, we zijn terug naar de fabriek zodat we betaald worden."
11,E5,E5_ZooCapture_localization,Melvin,Who cares. The big one is worth at least two. Now hurry!,Kan me geen kloten schelen. De dikke is zeker twee waard. Vooruit!
12,E7,E7_Opening_localization,Melvin,Maybe we should get back to work now?,Misschien moeten we maar terug aan het werk gaan?
13,E7,E7_Opening_localization,Melvin,I can't afford to lose this job...,Ik kan het me niet veroorloven om deze job te verliezen...
14,E7,E7_Opening_localization,Melvin,Mme. Derriere has been hinting that she's going to automate every department!,Mevr. Derrière heeft al laten doorschemeren dat ze elke afdeling gaat automatiseren!
15,E7,E7_Opening_localization,Melvin,She's obsessed with efficiency—so can we go now?!,Ze is geobsedeerd door efficiëntie—dus kunnen we nu gaan?!
16,E7,E7_Opening_localization,Melvin,"You say that, but I bet Mme. Derriere's already building Robots to go pick up donkeys instead of us.","Dat zeg je wel, maar ik wed dat Mevr. Derrière nu al Robots aan het bouwen is om ezels op te halen in onze plaats."
17,E7,E7_Opening_localization,Melvin,"Uh... I dunno. The Forklift's automated now, doesn't that count?","Euh... geen idee. De heftruck is nu geautomatiseerd, telt dat niet mee?"
18,E7,E7_Opening_localization,Melvin,What about the self-locking cages in the Holding Facilities?,En wat met de zelfsluitende kooien in de Dierenpennen?
