index,episode,sheet,speaker,english,dutch
1,E2,E2_MinersHouse_localization,Miner Jenny,It's me! Jenny. From the night shift.,Het ben ik! Jenny. Van de nachtploeg.
2,E2,E2_MinersHouse_localization,Miner Jenny,"Quick, I need your help!","Snel, ik heb je hulp nodig!"
3,E2,E2_MinersHouse_localization,Miner Jenny,Run into the flames and grab my Computer!,Ren door de vlammen en breng mijn Computer terug!
4,E2,E2_MinersHouse_localization,Miner Jenny,I NEED IT!,IK HEB HET NODIG!
5,E2,E2_MinersHouse_localization,Miner Jenny,"What, you can't hear me with those big dumb donkey ears?","Wat, kan je me niet verstaan met je domme ezelsoren, ofzo?"
6,E2,E2_MinersHouse_localization,Miner Jenny,"Fine, I'll MAKE YOU DO IT!",Oké. IK MAAK ER ZEKER VAN DAT JE 'T VOOR MIJ DOET.
7,E6,E6_Nightmare_localization,Miner Jenny,No sleeping on the job you useless donkey!,"Er word niet op het werk geslapen, nutteloze ezel!"
8,E6,E6_Nightmare_localization,Miner Jenny,I'm working overtime too—you don't see ME nodding off.,Ik werk ook na de uren—je ziet MIJ toch niet indutten.
9,E6,E6_Nightmare_localization,Miner Jenny,You're with me on Level 300 today!,Jij gaat vandaag met mij mee naar Niveau 300!
10,E6,E6_Nightmare_localization,Miner Jenny,At least I don't have to be with that lazy donkey.,Tenminste hoef ik niet met die luie ezel samen te werken.
11,E6,E6_Nightmare_localization,Miner Jenny,I'm done wasting my time on slackers!,Ik ben klaar met mijn tijd te verspillen aan luiwammesen!
12,E6,E6_Nightmare_localization,Miner Jenny,WHAT TOOK YOU SO LONG YOU PIECE OF SHIT?!,"WAT DUURDE DAT ZO LANG, STUK STRONT DAT JE BENT?!"
13,E6,E6_Nightmare_localization,Miner Jenny,I apologize donkey... I'm emotional.,Ik... sorry ezel... ik ben emotioneel.
14,E6,E6_Nightmare_localization,Miner Jenny,I dumped Cole yesterday.,Ik heb Piet gisteren gedumpt.
15,E6,E6_Nightmare_localization,Miner Jenny,*SOB*,*SNIK*
16,E6,E6_Nightmare_localization,Miner Jenny,"After all these years, I needed a break.",Na al die jaren had ik even een pauze nodig.
17,E6,E6_Nightmare_localization,Miner Jenny,Maybe I should leave and get a job in Mecha City...,Misschien moet ik gewoon vertrekken en een baan zoeken in Mechalen...
18,E6,E6_Nightmare_localization,Miner Jenny,I never made it to Mecha City...,Ik heb Mechalen nooit gehaald...
19,E6,E6_Nightmare_localization,Miner Jenny,BECAUSE YOU KILLED ME!,OMDAT JE ME VERMOORD HEBT!
