index,episode,sheet,speaker,english,dutch
1,E2,E2_ButtesHouse_localization,Mr. Butte,"It's me, Mr. Butte. The Boss.",Ik ben Mr. Vanscheetvelde. De chef.
2,E2,E2_ButtesHouse_localization,Mr. Butte,*glug glug*,*slok slok*
3,E2,E2_ButtesHouse_localization,Mr. Butte,The Mine's gone bankrupt.,De Mijn is failliet.
4,E2,E2_ButtesHouse_localization,Mr. Butte,I lost... everything.,Ik ben...alles kwijt.
5,E2,E2_ButtesHouse_localization,Mr. Butte,*sigh* I guess replacing you donkeys made no difference.,*zucht* Blijkt dat jullie ezels vervangen geen verschil heeft gemaakt.
6,E2,E2_ButtesHouse_localization,Mr. Butte,"But business is business, you know?",Maar wat kan je doen. Business is business.
7,E2,E2_ButtesHouse_localization,Mr. Butte,New Machines for a new era.,Nieuwe Machines voor een nieuwe era.
8,E2,E2_ButtesHouse_localization,Mr. Butte,You can't run a Coal Mine with just donkeys—it's the 21st century!,Je kan geen Koolmijn met enkel ezels runnen — het is de 21ste eeuw!
9,E2,E2_ButtesHouse_localization,Mr. Butte,*glug glug*,*slok slok*
10,E2,E2_ButtesHouse_localization,Mr. Butte,The world is burning and God sends me an Ass instead of an Angel.,De wereld staat in brand en God stuurt me een Ezel in plaats van een Engel.
11,E2,E2_ButtesHouse_localization,Mr. Butte,Maybe it's a sign?,Misschien is het een teken?
12,E2,E2_ButtesHouse_localization,Mr. Butte,"Ah, what the hell. Look at me. Talking to a donkey again...","Ach, wat maakt het. Kijk naar mij — tegen een ezel bezig..."
13,E2,E2_ButtesHouse_localization,Mr. Butte,No wonder Sandy left me...,Niet moeilijk dat Smaragdje bij mij weg is...
14,E6,E6_Nightmare_localization,Mr. Butte,My favourite donkey!,Mijn lievelingsezel!
15,E6,E6_Nightmare_localization,Mr. Butte,Are you ready for the big day?,Ben je klaar voor de grote dag?
16,E6,E6_Nightmare_localization,Mr. Butte,"We're going to get the Boring Machine up and running, and it'll save our Mine from going under.","We gaan de Boormachine opstarten en laten draaien, en die gaat onze Mijn redden van de ondergang."
17,E6,E6_Nightmare_localization,Mr. Butte,"Once I recoup the money I spent on the Machine, I'll send my son, Cole, to that fancy university he got into...","Zodra ik het geld van de Machine heb terugverdiend, stuur ik mijn zoon Piet naar die chique universiteit waar hij is aangenomen..."
18,E6,E6_Nightmare_localization,Mr. Butte,And all of my workers will be taken care of too!,En al mijn werkers worden ook goed verzorgd!
19,E6,E6_Nightmare_localization,Mr. Butte,This Machine will fix everything... I know it!,Deze Machine gaat alles oplossen... Ik weet het zeker!
20,E6,E6_Nightmare_localization,Mr. Butte,*glug glug*,*slok slok*
21,E6,E6_Nightmare_localization,Mr. Butte,...I don't feel so good—,...Ik voel me niet zo lekker—
