index,episode,sheet,speaker,english,dutch
1,E3,E3_Mine1FOpening_localization,{$NewName},"Comrade Mother, will this crappy weather ever end?","Kameraad Moeder, gaat dit kloteweeer ooit nog stoppen?"
2,E3,E3_Mine1FOpening_localization,{$NewName},I'm cold.,'k Heb het koud.
3,E3,E3_Mine1FOpening_localization,{$NewName},I'm hungry.,'k Heb honger.
4,E3,E3_Mine1FOpening_localization,{$NewName},I'm damp.,'k Ben nat.
5,E3,E3_Mine1FOpening_localization,{$NewName},And worst of all...,En het ergste van al...
6,E3,E3_Mine1FOpening_localization,{$NewName},I'M BORED.,'K VERVEEL MIJ DOOD.
7,E3,E3_Mine1FOpening_localization,{$NewName},Is work...really thaaaaaaat great?,Is werken... echt zooooooo geweldig?
8,E3,E3_Mine1FOpening_localization,{$NewName},But Comrade Mother...,Maar Kameraad Moeder...
9,E3,E3_Mine1FOpening_localization,{$NewName},What if I don't want to work...?,Wat als ik niet wil werken...?
10,E3,E3_Mine1FOpening_localization,{$NewName},What if I want to jump around and explore?,Wat als ik wil rondspringen en ontdekken?
11,E3,E3_Mine1FOpening_localization,{$NewName},What if I just want... to play?,Wat als ik gewoon... wil spelen?
12,E3,E3_Mine1FOpening_localization,{$NewName},Wahoo!,Joepie!
13,E3,E3_Mine1FOpening_localization,{$NewName},"Tell me about your adventures, Uncle Kick!","Vertel mij over uw avonturen, Nonkel Hoef!"
14,E3,E3_Mine1FOpening_localization,{$NewName},Really? Wahoo!,Echt? Joepie!
15,E3,E3_Mine1F_localization,{$NewName},I love love LOVE Rocks!,Ik hou hou HOU van Keien!
16,E3,E3_Mine1F_localization,{$NewName},Maybe Aunty Nice wants to watch me play!,Misschien wil Tante Schoontje wel komen kijken!
17,E3,E3_Mine1F_localization,{$NewName},Maybe Uncle Thirsty wants to watch me play!,Misschien wil Nonkel Dorst wel meekijken!
18,E3,E3_Mine1F_localization,{$NewName},My high score for Rocks today is {$Number}.,Mijn hoogste score vandaag is {$Number}.
19,E3,E3_Mine1F_localization,{$NewName},Cool. This rock looks different! I'm gonna keep it!,Wauw! Deze kei ziet er kei-cool uit! Die hou ik bij!
20,E3,E3_Mine1F_localization,{$NewName},"Wow, what a hard rock! I'm gonna keep it.",Amai! Da’s een harde kei! Die steek ik bij!
21,E3,E3_Mine1F_localization,{$NewName},"Wow, what a classic rock! This one might be my favourite!",Wauw! Wat een klassieker! Da’s misschien mijn favoriet!
22,E3,E3_Mine1F_localization,{$NewName},This is a weird looking rock...,Da’s een raar uitziende kei…
23,E3,E3_Mine1F_localization,{$NewName},It's all boarded up.,Alles is dichtgetimmerd.
24,E3,E3_Mine1F_localization,{$NewName},It's missing one of those round things...,Er ontbreekt zo’n rond ding…
25,E3,E3_Mine1F_localization,{$NewName},Cool! It fits perfectly!,Joepie! ’t Past perfect!
26,E3,E3_Mine1F_localization,{$NewName},"Do you want to watch me play Rocks, Uncle Sad?","Wil je kijken naar mijn Stenen-spel, Nonkel Triestigaard?"
27,E3,E3_Mine1F_localization,{$NewName},Why not?,Waarom niet?
28,E3,E3_Mine1F_localization,{$NewName},I think we're alive to live in the present and do what brings us joy.,Ik denk dat we leven om nu plezier te maken en te doen waar we blij van worden.
29,E3,E3_Mine1F_localization,{$NewName},"If what we're doing doesn't bring us joy, maybe we should do something different!","Als wat we doen ons geen vreugde brengt, moeten we misschien iets anders doen!"
30,E3,E3_Mine1F_localization,{$NewName},Comrade Mother says we're alive to honour the legacy of our Ancestors through hard Work.,Kameraad-Moeder zegt dat we leven om de erfenis van onze Voorouders te eren met hard Werk.
31,E3,E3_Mine1F_localization,{$NewName},Someone's whispering...,Iemand is aan ’t fluisteren...
