index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding3_localization,Proper Ass,Pardon me! Is this a jailbreak?,"Gelieve mij niet kwalijk te nemen, maar is dit een uitbraak?"
2,E7,E7_Holding3_localization,Proper Ass,"Big? Oh dear, perhaps that was the Ass of impressive mass that was just taken into the Slaughterhouse chamber.","Mega? Oh jeetje, misschien was dat de Ezel van indrukwekkende massa die zonet naar de Slachthuiskamer werd afgevoerd."
3,E7,E7_Holding3_localization,Proper Ass,"Never fear, we have a provision of shared responsibility for singing the Song of Ascension for the Asses who go before us.","Vrees niet, wij zingen trots het ezelenhemelvaartszangderzielen voor de Ezels die ons zijn voorgegaan, dat is onze belofte."
4,E7,E7_Holding3_localization,Proper Ass,You just don't want to be the final Ass of the night...,U wilt gewoon niet de laatste Ezel van de avond zijn...
5,E7,E7_Holding3_localization,Proper Ass,"Of course, if you come across any Humans, you might be wise to give them a right good knock on the skull.","Uiteraard, mocht u toevallig Mensen tegenkomen, dan doet u er wijs aan hun een flinke tik op de schedel te verkopen."
6,E7,E7_Holding3_localization,Proper Ass,It's your life or theirs after all.,Het is per slot van rekening uw leven of het hunne.
7,E7,E7_ShippingTwo_localization,Proper Ass,Jailbreak!!!!,Uitbraak!!!!
8,E10,E10_Slow_localization,Proper Ass,What would we like?!,Wat wensen wij?!
9,E10,E10_Slow_localization,Proper Ass,When would we prefer to have it?!,Wanneer zouden wij het bij voorkeur wensen?!
10,E10,E10_Slow_localization,Proper Ass,Who's going to prevent us?!,Wie gaat ons tegenhouden?!
11,E10,E10_Thirsty_localization,Proper Ass,Good afternoon Chaps!,"Goedemiddag, heren!"
12,E10,E10_Thirsty_localization,Proper Ass,We have located the building where the Humans make their decisions.,Wij hebben het gebouw gelokaliseerd waar de Mensen hun beslissingen nemen.
13,E10,E10_Thirsty_localization,Proper Ass,The whole Protest is moving over there as we speak.,Het hele Protest begeeft zich op dit moment daarheen.
14,E10,E10_Thirsty_localization,Proper Ass,Care to join us?,Doet u mee?
15,E10,E10_Hard_localization,Proper Ass,This is the building where the Humans make their decisions!,Dit is het gebouw waar de Mensen hun beslissingen nemen!
16,E10,E10_Hard_localization,Proper Ass,EVERYBODY GET INSIDE!,IEDEREEN NAAR BINNEN!
17,E10,E10_Government_localization,Proper Ass,No Human enters and no Ass leaves until we have determined our next move.,Geen Mens komt erin en geen Ezel gaat eruit tot wij onze volgende stap hebben bepaald!
18,E10,E10_Government_localization,Proper Ass,No Humans allowed inside.,Geen Mensen toegelaten.
19,E10,E10_Government_localization,Proper Ass,We're occupying this building until our demands are met.,Wij bezetten dit gebouw tot aan onze eisen wordt voldaan.
20,E10,E10_Government_localization,Proper Ass,Splendid! I have no idea what she just said.,Voortreffelijk! Ik heb geen flauw idee wat ze net zei.
21,E10,E10_Government_localization,Proper Ass,But this is what we've been waiting for!,Maar dit is waar wij op gewacht hebben!
22,E10,E10_Government_localization,Proper Ass,"Young Prophet, will you translate our demands to the Humans?","Jonge Profetes, staat u ons toe te vragen — wilt u onze eisen vertolken aan de Mensen?"
23,E10,E10_Government_localization,Proper Ass,Tell the Humans that we want representation in their systems of Government.,Vertel de Mensen dat wij vertegenwoordiging wensen in hun regeringssystemen.
24,E10,E10_Government_localization,Proper Ass,The Human global governing system disproportionately undermines the rights of Animals everywhere.,"Het mondiale bestuurssysteem van de Mensen ondermijnt op disproportionele wijze de rechten van Dieren, waar ook ter wereld."
25,E10,E10_Government_localization,Proper Ass,A Parliament full of Humans cannot represent all Animals.,Een Parlement vol Mensen kan onmogelijk alle Dieren vertegenwoordigen.
