index,episode,sheet,speaker,english,dutch
1,E7,E7_Holding2_localization,Resentful Ass,"You're lucky, you still have some of your Herd. For now.","Gij hebt geluk, gij hebt nog een deel van uw Kudde. Voorlopig dan toch."
2,E10,E10_Government_localization,Resentful Ass,Hey! Everyone get ready!,Hé! Iedereen klaar maken!
3,E10,E10_Government_localization,Resentful Ass,There's an Ass approaching!,Er komt een Ezel aan!
4,E10,E10_Government_localization,Resentful Ass,Wait!,Wacht!
5,E10,E10_Government_localization,Resentful Ass,Is that a Human on their back?,Is dat een Mens op hun rug?
6,E10,E10_Government_localization,Resentful Ass,No more rides!!,Geen ritten meer!!
7,E10,E10_Government_localization,Resentful Ass,They didn't seem rational when they attacked us in the streets.,"Eens ze de wereld zien vanuit uw perspectief, gaan ze met ons samenwerken om de manieren van de Mensen overal te veranderen."
8,E10,E10_Government_localization,Resentful Ass,No more rides!!,Gedaan met de ritjes!!
9,E10,E10_Government_localization,Resentful Ass,Tell the Humans that we will not give them rides on our backs anymore.,Zeg tegen de Mensen dat we hen geen ritten op onze rug meer zullen geven.
10,E10,E10_Government_localization,Resentful Ass,Some of us find it incredibly demeaning.,Sommigen onder ons vinden dat ongelooflijk vernederend.
11,E10,E10_Government_localization,Resentful Ass,"Of course, Golden Ass, I don't mean to insult you if you enjoy it.","Natuurlijk, Gouden Ezel, ik wil u niet beledigen als ge dat graag hebt."
