index,episode,sheet,speaker,english,dutch
1,E5,E5_CircusMain_localization,Ringmaster Rico,Welcome one and all to THE BIG CITY CIRCUS!,IEDEREEN WELKOM in het GROTE stadscircus!
2,E5,E5_CircusMain_localization,Ringmaster Rico,Where entertainment meets exotic animals... exotic animals meet art...,Waar entertainment en wilde dieren... met kunst samenkomen...
3,E5,E5_CircusMain_localization,Ringmaster Rico,...and art meets...,...en kunst samenkomt met...
4,E5,E5_CircusMain_localization,Ringmaster Rico,FIRE!,VUUR!
5,E5,E5_CircusMain_localization,Ringmaster Rico,Boy-oh-boy do we have a show for you TONIGHT!,"Jongens, jongens, jongens. Hebben wij EEN SHOW voor jullie vanavond!"
6,E5,E5_CircusMain_localization,Ringmaster Rico,Will it be participatory?,Wie doet mee?
7,E5,E5_CircusMain_localization,Ringmaster Rico,Yes!,Jawel!
8,E5,E5_CircusMain_localization,Ringmaster Rico,Will it be dangerous?,Wordt het gevaarlijk?
9,E5,E5_CircusMain_localization,Ringmaster Rico,Yes!,Jazeker!
10,E5,E5_CircusMain_localization,Ringmaster Rico,Will there be an intermission?,Is er een pauze?
11,E5,E5_CircusMain_localization,Ringmaster Rico,Not on your LIFE!,Absoluut geen pauze!
12,E5,E5_CircusMain_localization,Ringmaster Rico,But we are selling popcorn in the lobby!,Maar we verkopen wel popcorn bij de ingang!
13,E5,E5_CircusMain_localization,Ringmaster Rico,"The acts you'll see tonight will each be more visually spectacular, more death-defying, more baffling than the last!","Alle actes van vanavond zullen het visuele spektakel, het gevaar, het lef van de acte tevoren overtreffen!"
14,E5,E5_CircusMain_localization,Ringmaster Rico,Performing for you is a cast of exotic animals who were BORN for the stage.,"Op het podium vanavond, een kabinet van exotische dieren, alsof ze voor de show geboren zijn."
15,E5,E5_CircusMain_localization,Ringmaster Rico,"They want, NAY, they LIVE to entertain you!","Ze wensen, och, LEVEN om jullie te entertainen!"
16,E5,E5_CircusMain_localization,Ringmaster Rico,They're HUNGRY for your applause!,Ze hebben HONGER voor jullie applaus!
17,E5,E5_CircusMain_localization,Ringmaster Rico,"HELL, their jobs depend on it!",Het is verdorie hun job!
18,E5,E5_CircusMain_localization,Ringmaster Rico,"And speaking of jobs, none of us would be here tonight if it weren't for our sponsor...","En over jobs gesproken, we zouden hier vanavond niet staan zonder de steun van onze sponsor..."
19,E5,E5_CircusMain_localization,Ringmaster Rico,"Mecha City's most benevolent benefactor, Mme. Derriere!","De meest welvarende weldoener van Mechalen, Mevr. Derrière!"
20,E5,E5_CircusMain_localization,Ringmaster Rico,Let's give her a round of applause!,Een daverend applaus!
21,E5,E5_CircusMain_localization,Ringmaster Rico,ALSO! I have a very big announcement at the end of tonight's show...,EN! Ik heb ook nog een grote aankondiging aan het eind van de voorstelling van vanavond...
22,E5,E5_CircusMain_localization,Ringmaster Rico,So stay tuned!,Dus blijf blij ons!
23,E5,E5_CircusMain_localization,Ringmaster Rico,Our FIRST ACT comes to you from the grassy plains of the Savannah!,"Onze EERSTE ACT, recht van de grasvlaktes van de Savanne!"
24,E5,E5_CircusMain_localization,Ringmaster Rico,Please give a big round of applause for...,Een luid applaus voor...
25,E5,E5_CircusMain_localization,Ringmaster Rico,...ELI THE AFRICAN ELEPHANT!,AMADOU DE AFRIKAANSE OLIFANT!
26,E5,E5_CircusMain_localization,Ringmaster Rico,Give a polite round of applause for Eli the Elephant who...,"Dames en heren, een vriendelijk applaus voor Amadou de Olifant..."
