index,episode,sheet,speaker,english,dutch
1,E1,E1_TheProtest_localization,Sick Ass,*COUGH*,*HOEST*
2,E1,E1_TheProtest_localization,Sick Ass,*COUGH*,*HOEST*
3,E1,E1_TheProtest_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
4,E2,E2_World_A1_localization,Sick Ass,*COUGH*,*HOEST*
5,E2,E2_World_A1_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST**HOEST HOEST*
6,E2,E2_World_B1_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
7,E3,E3_EpisodeTitle_localization,Sick Ass,*COUGH*,*KUCH*
8,E3,E3_Mine1FOpening_localization,Sick Ass,*COUGH*,*KUCH*
9,E3,E3_Mine1FOpening_localization,Sick Ass,*COUGH*,*KUCH*
10,E3,E3_Mine1FOpening_localization,Sick Ass,*COUGH COUGH*,*KUCH KUCH*
11,E3,E3_Mine1FOpening_localization,Sick Ass,*COUGH COUGH*—,*KUCH KUCH*—
12,E3,E3_Mine1FOpening_localization,Sick Ass,...,...
13,E3,E3_Mine1F_localization,Sick Ass,*COUGH COUGH COUGH*,*KUCH KUCH KUCH*
14,E3,E3_Mine1F_localization,Sick Ass,*COUGH COUGH COUGH COUGH COUGH*,*KUCH KUCH KUCH KUCH KUCH*
15,E3,E3_Mine1F_localization,Sick Ass,*COUGH*,*KUCH*
16,E3,E3_Mine1F_localization,Sick Ass,*COUGH COUGH*,*KUCH KUCH*
17,E4,E4_HideAndSeek_localization,Sick Ass,*COUGH*,*HOEST*
18,E4,E4_HideAndSeek_localization,Sick Ass,*COUGH*,*HOEST*
19,E4,E4_HideAndSeek_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
20,E4,E4_Mine1F_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
21,E4,E4_Mine1F_localization,Sick Ass,...,...
22,E4,E4_Mine1F_localization,Sick Ass,...,...
23,E4,E4_KicksConfession_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
24,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
25,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
26,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
27,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
28,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
29,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
30,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
31,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
32,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
33,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
34,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
35,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
36,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
37,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
38,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
39,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
40,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH*,*HOEST*
41,E4,E4_AstralPlaneMain_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
42,E6,E6_Nightmare_localization,Sick Ass,*COUGH*,*HOEST*
43,E6,E6_Nightmare_localization,Sick Ass,*COUGH COUGH*,*HOEST HOEST*
44,E6,E6_Nightmare_localization,Sick Ass,{s}{s=10}Turn around.{/s},{s}{s=10}Omdraaien.{/s}
45,E8,E8_TheGods_localization,Sick Ass,*COUGH*?,*KUCH*?
46,E8,E8_TheGods_localization,Sick Ass,*COUGH COUGH*?,*KUCH KUCH*?
