index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Smart Ass,Trusty! I have a new one!,Trouwe! Ik heb nog eentje!
2,E1,E1_Farm_localization,Smart Ass,Why did Slow Ass cross the road?,Waarom steekt Slome Ezel de straat over?
3,E1,E1_Farm_localization,Smart Ass,"We don't know, he's still trying to get to the other side!",Weten we niet! Hij is nog altijd bezig met over te steken!
4,E1,E1_Farm_localization,Smart Ass,Ha!,Ha!
5,E1,E1_Farm_localization,Smart Ass,"Oh shut it, can't two Jennets joke around?","Och, mogen twee ezelinnekes al niet meer eens lachen?"
6,E1,E1_Farm_localization,Smart Ass,I've spent all day going over the plans for the Protest:,Ik ben de hele dag bezig geweest met de plannen voor het Protest:
7,E1,E1_Farm_localization,Smart Ass,"ONE, we run through the gate.","ÉÉN, we lopen door de poort."
8,E1,E1_Farm_localization,Smart Ass,"TWO, we meet up with the Miners and cross the bridge.",TWEE: we komen samen met de Mijn-Ezels en steken de brug over.
9,E1,E1_Farm_localization,Smart Ass,"THREE, we march through the Village of Bumpkin, convince the Humans to give up their Machines.","DRIE: we marcheren door het dorp van Muilegem, en overtuigen de Mensen de Machines achter te laten."
10,E1,E1_Farm_localization,Smart Ass,AND GET OUR JOBS BACK!,EN ONZE JOBS TERUG TE GEVEN!
11,E1,E1_Farm_localization,Smart Ass,Easy.,Poepsimpel.
12,E1,E1_Farm_localization,Smart Ass,Even a Foal could pull this off.,Zelfs een Veulen kan dit flikken.
13,E1,E1_Farm_localization,Smart Ass,... zzz... .zzz... .,...zzz... zzz...
14,E1,E1_FarmHouseInt_localization,Smart Ass,Hey Trusty!,Hey Trouwe!
15,E1,E1_FarmHouseInt_localization,Smart Ass,"What's going on in there?! You didn't forget about the Protest, did you?!",Hoe zit het hier? Je bent het Protest toch niet vergeten?
16,E1,E1_TheProtest_localization,Smart Ass,Whaa? Old Ass is dead!? And YOU'RE in charge?,Waaa? Oude is dood?! En JIJ bent de baas nu?
17,E1,E1_TheProtest_localization,Smart Ass,"No offence Trusty, but you're a listener not a leader!","Begrijp me niet verkeerd Trouwe, maar jij bent een luisteraar, niet een leider."
18,E1,E1_TheProtest_localization,Smart Ass,You could have at least admitted how lucky you are to have such an Ace Strategist.,Je kon tenminste toegeven hoe veel geluk je hebt met zo'n top-strategist.
19,E1,E1_TheProtest_localization,Smart Ass,Ha! You're damn right.,Ha! Je hebt godverdomme gelijk.
20,E1,E1_TheProtest_localization,Smart Ass,Here's the Plan!,Dit is het plan!
21,E1,E1_TheProtest_localization,Smart Ass,"ONE, we run through this gate.",ÉÉN: we lopen door de poort.
22,E1,E1_TheProtest_localization,Smart Ass,"TWO, we cross the bridge with the Miners.",TWEE: we komen samen met de Mijn-Ezels en steken de brug over.
23,E1,E1_TheProtest_localization,Smart Ass,"THREE, we march through the Village, convince the Humans to give up their Machines...",DRIE: we marcheren door het dorp van Muilegem en overtuigen de Mensen de Machines achter te laten...
24,E1,E1_TheProtest_localization,Smart Ass,AND GET OUR JOBS BACK!,EN ONZE JOBS TERUG TE GEVEN!
25,E1,E1_TheProtest_localization,Smart Ass,Easy.,Poepsimpel.
26,E1,E1_TheProtest_localization,Smart Ass,That's catchy.,Da's catchy.
27,E1,E1_TheProtest_localization,Smart Ass,Sheesh...,Jemig..
28,E1,E1_TheProtest_localization,Smart Ass,Shut up and calm down.,Hou je bek en kalmeer.
29,E1,E1_TheProtest_localization,Smart Ass,"No offence Slow Ass, but I knew this would happen when Old Ass put you on bridge duty.","Sorry hoor Slome, maar ik wist dat dit ging gebeuren wanneer Oude Zak je op brugdienst gezet heeft."
30,E1,E1_TheProtest_localization,Smart Ass,So I made a Plan B:,Daarom heb ik een Plan B:
31,E1,E1_TheProtest_localization,Smart Ass,"ONE, we take the LONG way around to the NORTH.","ÉÉN: we nemen de LANGE weg rond, langs het Noorden."
32,E1,E1_TheProtest_localization,Smart Ass,"TWO, we meet up with the Miners and enter the Village from the EAST.",TWEE: we vervoegen de Mijn-Ezels en gaan het dorp binnen via het Oosten.
