index,episode,sheet,speaker,english,dutch
1,E1,E1_Stable1F_localization,Sturdy Ass,Hi Comrade Trusty.,Dag Kameraad Trouwe.
2,E1,E1_Stable1F_localization,Sturdy Ass,I pray the Gods will make sure my Foal is born with the Soul of a strong worker.,Ik bid tot de Goden voor een gezond Veulen met de Ziel van een staalharde werker.
3,E1,E1_Stable1F_localization,Sturdy Ass,I can't bear to think about them growing up in a world cut off from our Herd's traditions.,Het kan me niet over 't hart dat onze veulens in een wereld zonder waarden en normen zullen opgroeien.
4,E1,E1_Stable1F_localization,Sturdy Ass,But you're right.,Maar je hebt gelijk.
5,E1,E1_Stable1F_localization,Sturdy Ass,"If we follow Old Ass, we can restore balance to the Farm.",Als we Ouwe Zak volgen kunnen we ervoor zorgen dat vrede naar onze Hoeve wederkeert.
6,E1,E1_Stable1F_localization,Sturdy Ass,"Asses and Humans will work together again, without a Machine in sight!","Ezels en Mensen kunnen weer samenwerken, zonder dat daar een Machine bij aan de pas komt."
7,E1,E1_Stable1F_localization,Sturdy Ass,We can do it!,We kunnen dat!
8,E1,E1_Stable1F_localization,Sturdy Ass,We can do it!,We kunnen dat!
9,E1,E1_Stable1F_localization,Sturdy Ass,Goodnight Trusty! You really care about the Herd and it shows.,"Goeie nacht, Trouwe Zak. Je zit met onze Kudde in en dat zien we."
10,E1,E1_Stable1F_localization,Sturdy Ass,*Oof!* Looks like my Foal wishes they could join the Protest tomorrow too.,*Oef* Mijn Veulentje zou graag willen meedoen morgen.
11,E1,E1_Stable1F_localization,Sturdy Ass,Even my labour pains are in solidarity with the Herd!,Zelfs mijn weeën zijn in solidariteit met onze Kudde.
12,E1,E1_Stable1F_localization,Sturdy Ass,Goodnight!,Slaapwel!
13,E1,E1_Stable2F_localization,Sturdy Ass,"Comrade Trusty, wait!","Trouwe Kameraad, wacht!"
14,E1,E1_Stable2F_localization,Sturdy Ass,"Before you sleep, could you help me with something?","Voor dat je gaat slapen, kan je me met iets helpen?"
15,E1,E1_Stable2F_localization,Sturdy Ass,I'm struggling to come up with a name for my Foal.,Ik heb moeite met het vinden van een goede naam voor mijn Veulentje.
16,E1,E1_Stable2F_localization,Sturdy Ass,"If I give birth tonight, I'm worried I won't have one.","Moest ik vannacht bevallen, zou ik geen idee hebben hoe het te noemen."
17,E1,E1_Stable2F_localization,Sturdy Ass,What should I name them?,Hoe zou ik het Veulentje noemen?
18,E1,E1_Stable2F_localization,Sturdy Ass,{$NewName}! That's a wonderful name!,{$NewName}! Wat een geweldige naam!
19,E1,E1_Stable2F_localization,Sturdy Ass,Thanks Comrade. Goodnight!,Bedankt Kameraad. Slaapwel.
20,E1,E1_Stable2F_localization,Sturdy Ass,OLD ASS! NOOO!!,Ouwe Zak! NEEEEEEEEEEEE!!
21,E1,E1_Stable2F_localization,Sturdy Ass,HEEEHAAAAAAAAAAAAW!!!,HIEEEEEE-HAAAAAAAAAA!!!
22,E1,E1_Stable2F_localization,Sturdy Ass,Our fearless Old Ass...,Onze Oude zonder vrees...
23,E1,E1_Stable2F_localization,Sturdy Ass,He taught us everything we know.,Hij heeft ons alles wat we weten geleerd.
24,E1,E1_Stable2F_localization,Sturdy Ass,How could the Gods let this happen? What are we going to do without him...?!,Hoe konden de Goden dit laten gebeuren? Wat gaan we nu zonder hem doen...?!
25,E1,E1_Stable2F_localization,Sturdy Ass,And the Protest! It's supposed to start any moment now...,En het Protest! Het Protest gaat elk moment beginnen...
26,E1,E1_Stable2F_localization,Sturdy Ass,"Trusty. I know I said earlier that WE can do it, but...","Trouwe, ik zei eerder dat WIJ het samen konden doen, maar..."
27,E1,E1_Stable2F_localization,Sturdy Ass,I can't leave Old Ass's body alone.,Ik kan Oude Zak niet alleen achterlaten.
28,E1,E1_Stable2F_localization,Sturdy Ass,Someone has to sing the Song of Ascension to make sure his Ass Soul can reach the Astral Plane and be reassigned.,Iemand moet het ezelenhemelvaartszangderzielen zingen zodat zijn ziel het Astrale Hiernamaals bereikt en hij weer kan herrijzen.
29,E1,E1_Stable2F_localization,Sturdy Ass,"I'll stay with him. You lead the Herd, Comrade.","Ik blijf bij hem. Jij moet de Kudde leiden, Kameraad."
30,E1,E1_Stable2F_localization,Sturdy Ass,Go. Rally the others.,Ga. Roep de anderen samen.
31,E1,E1_Stable2F_localization,Sturdy Ass,"Hurry, Trusty!","Snel, Trouwe!"
32,E1,E1_Stable2F_localization,Sturdy Ass,Oh Old Ass...,Oh Oude Zak...
33,E1,E1_Stable2F_localization,Sturdy Ass,"Not a day goes by that I don't think of Lazy Ass, the beautiful child we lost.","Geen dag gaat voorbij dat ik niet aan Luie Zak denk, het prachtige kind dat van ons afgenomen werd."
34,E1,E1_Stable2F_localization,Sturdy Ass,"I know the Gods didn't give her a Worker’s Spirit, but she was our child.","Ik weet dat de Goden haar misschien niet de kracht van een werker gegeven hebben, maar ze was ons kind, ze was ons meisje."
35,E1,E1_Stable2F_localization,Sturdy Ass,The Foal inside me won't replace Lazy Ass.,Mijn Veulentje vervangt Luitje niet... Nooit.
36,E1,E1_Stable2F_localization,Sturdy Ass,But maybe it'll be able to live the life we dreamed of...,Maar misschien kan dat leventje uitdraaien zoals we het hebben gedroomd.
37,E1,E1_Stable2F_localization,Sturdy Ass,"A life free of evil, soulless, job-taking, child-killing Machines.","Een leven zonder kwaad, zonder zielloze, werk-stelende en moordende Machines."
38,E1,E1_Stable2F_localization,Sturdy Ass,"May you pass on in power to the Astral Plane, my dear Comrade.","Dat je mag met kracht en liefde oversteken naar het Astrale Hiernamaals, Kameraad."
39,E1,E1_Stable2F_localization,Sturdy Ass,"""{color=yellow}{s=5}♪  hee haw hi hon 'ee ah he a'w ♪{/s}{/color}""",{color=yellow}{s=5}♪  hie haa ii aa 'ee ah he a'h ♪{/s}{/color}
40,E1,E1_Stable2F_localization,Sturdy Ass,"""{color=yellow}♪  HEE HAW HI HON 'EE AH HE A'W! ♪{/color}""",{color=yellow}♪  HIE HAA II AA 'EE AH HE A'H! ♪{/color}
41,E3,E3_Mine1FOpening_localization,Sturdy Ass,"My Foal, I'm sorry you can't have the childhood I had toiling in the fields.","Mijn Veulentje, 't spijt me dat ge geen kindertijd kunt hebben zoals ik, zwoegend op het veld."
42,E3,E3_Mine1FOpening_localization,Sturdy Ass,But soon the Gods will destroy the evil Machines and the Humans will return to us.,Maar binnenkort gaan de Goden die slechte Machines kapotmaken en komen de Mensen terug naar ons.
43,E3,E3_Mine1FOpening_localization,Sturdy Ass,Then you will grow up to have a life full of true and honest work.,Dan groeit ge op met een leven vol echt en eerlijk werk.
44,E3,E3_Mine1FOpening_localization,Sturdy Ass,How can you ask that?!,Hoe kunt ge dat nu vragen?!
45,E3,E3_Mine1FOpening_localization,Sturdy Ass,The Gods gave our Ancestors the power to work.,De Goden gaven onze Voorouders de kracht om te werken.
46,E3,E3_Mine1FOpening_localization,Sturdy Ass,They lived at work. And they died at work.,Ze leefden op het werk. En ze stierven op het werk.
47,E3,E3_Mine1FOpening_localization,Sturdy Ass,Work is in your Soul.,Werk zit in uw Ziel.
48,E3,E3_Mine1FOpening_localization,Sturdy Ass,"If we're lucky, the scavengers will have found enough food tonight for everyone...","Als we geluk hebben, hebben de opruimers vanavond genoeg eten gevonden voor iedereen..."
49,E3,E3_Mine1FOpening_localization,Sturdy Ass,"Well done, Comrades—","Goed gedaan, Kameraden—"
50,E3,E3_Mine1FOpening_localization,Sturdy Ass,"Not now, child. Let them set down the cart and dry off.","Niet nu, kind. Laat ze eerst de kar neerzetten en afdrogen."
51,E3,E3_Mine1FOpening_localization,Sturdy Ass,"It's not enough food, but we’ll make it last.","'t Is niet genoeg eten, maar we laten het wel rekken."
52,E3,E3_Mine1FOpening_localization,Sturdy Ass,"Smart Ass, divide the rations.","Betweter, verdeel de ratioenen."
53,E3,E3_Mine1FOpening_localization,Sturdy Ass,COMRADES. Let's not waste our time and energy fighting amongst ourselves.,KAMERADEN. Laat ons onze tijd en energie niet verspillen met onder elkaar vechten.
54,E3,E3_Mine1FOpening_localization,Sturdy Ass,We have to stick together.,We moeten samenblijven.
55,E3,E3_Mine1FOpening_localization,Sturdy Ass,"Smart Ass, let's divide the rations and get everyone fed.","Slimme Zak, laat ons de porties verdelen en iedereen eten geven."
56,E3,E3_Mine1FOpening_localization,Sturdy Ass,"{$NewName}, go play with your rocks.","{$NewName}, ga spelen met uw stenen."
57,E3,E3_Mine1FOpening_localization,Sturdy Ass,"Yes, just stay away from the evil, soulless, job-taking, child-killing Machines.","Ja, maar blijf weg van die slechte, zielloze, werk-afpakkende, kind-dodende Machines."
58,E3,E3_Mine1F_localization,Sturdy Ass,HEY! Where do you think you are going?,HEY! Waar denkt ge da ge naartoe gaat?!
59,E3,E3_Mine1F_localization,Sturdy Ass,"By the Gods! Smart Ass, you know {$NewName} can't digest that kind of food yet.","Bij de Goden! Betweterke, ge wéét dat {$NewName} dat soort eten nog niet verteert."
60,E3,E3_Mine1F_localization,Sturdy Ass,No you won't. It's Bad Ass's.,Nee gij. ’t Is van Waaghalske.
61,E3,E3_Mine1F_localization,Sturdy Ass,Run along child. I need to speak with Aunty Smart about something important.,"Loop maar, kind. Ik moet iets belangrijks bespreken met Tante Betje."
62,E3,E3_Mine1F_localization,Sturdy Ass,Go play with your rocks.,Ga spelen met uw keien.
63,E3,E3_Mine1F_localization,Sturdy Ass,"I understand, Comrade.","Ik versta het, Kameraad."
