index,episode,sheet,speaker,english,dutch
1,E1,E1_TheProtest_localization,The Masses,POWER!,MACHT!
2,E1,E1_TheProtest_localization,The Masses,POWER!,MACHT!
3,E1,E1_TheProtest_localization,The Masses,DON'T BE SCARED!,WEEST NIET BANG!
4,E1,E1_TheProtest_localization,The Masses,Trusty Ass? Where are you going? The Village isn't that way.,Trouwe Zak? Waar loop jij naartoe? Het dorp is niet die kant uit.
5,E1,E1_TheProtest_localization,The Masses,THIS IS A PROTEST!,DIT IS EEN PROTEST!
6,E1,E1_TheProtest_localization,The Masses,RESPECT OUR HISTORY!,RESPECTEER ONZE GESCHIEDENIS!
7,E1,E1_TheProtest_localization,The Masses,RESPECT ASS CULTURE!,RESPECTEER DE EZELSCULTUUR
8,E1,E1_TheProtest_localization,The Masses,GIVE US OUR JOBS BACK!,GEEF ONZE JOBS TERUG!
9,E1,E1_TheProtest_localization,The Masses,Trusty Ass! Where are you going?,Trouwe Zak! Waar ga jij heen?
10,E2,E2_World_A1_localization,The Masses,Don't touch the fire!,Blijf van het vuur weg!
11,E2,E2_World_A1_localization,The Masses,Hurry!,Snel!
12,E2,E2_World_B1_localization,The Masses,ASS P-POWER!,EZEL M-MACHT!
13,E4,E4_AstralPlaneMain_localization,The Masses,A LOSER!,EEN LOSER!
14,E4,E4_AstralPlaneMain_localization,The Masses,LOSER!,LOSER!
15,E4,E4_AstralPlaneMain_localization,The Masses,FUCK REASSIGNMENT! I'M NEVER GOING BACK!,FUCK HERAANSTELLING! IK GA NOOIT MEER TERUG!
16,E7,E7_Chilling_localization,The Masses,{color=yellow}{s=5}♪  hee haw hi hon 'ee ah he a'w ♪{/color},{color=yellow}{s=5}♪ hie haa hie hon 'ie aah he ahn ♪{/color}
17,E10,E10_Slow_localization,The Masses,System change!,Verandering van het systeem!
18,E10,E10_Slow_localization,The Masses,NOW!,NU!
19,E10,E10_Slow_localization,The Masses,NO ONE!,NIEMAND!
20,E10,E10_Hard_localization,The Masses,Don't stop the momentum! Keep pushing!,Stop niet met drukken! Blijf doorgaan!
