index,episode,sheet,speaker,english,dutch
1,E1,E1_Farm_localization,Thirsty Ass,"This here empty trough is a damn sorry sight, Comrade.","Die'n lege drinkbak hier, kameraad. Wa' voor iet' triestig is me dadde!"
2,E1,E1_Farm_localization,Thirsty Ass,It's been mighty dry these days...,"t Is kurk maar dan ook kurkdroog héé,  de laatst'n tijd..."
3,E1,E1_Farm_localization,Thirsty Ass,"Hell, everything from work to water's just gone and dried up!",Van 't werk tot 't water — alles is godverdomme opgedroogd!
4,E1,E1_Farm_localization,Thirsty Ass,"Can you fetch me some water with that ol' bucket, from that ol' river up there?","Zou’j mij wat water kunnen scheppen met dienen ouden emmer, van da' stukske rivier da' ginder ligt?"
5,E1,E1_Farm_localization,Thirsty Ass,This ol' bucket ain't gonna fill itself!,"Diej'n emmer gaat z'n eigen nie' volscheppen, héé."
6,E1,E1_Farm_localization,Thirsty Ass,Yeehaw! Use that bucket to get some water from that there river.,Hupse! Pakt dienen emmer en gaat scheppen in da' rivierke daar!
7,E1,E1_Farm_localization,Thirsty Ass,"Git that tasty water in the trough, Comrade!","Giet da' lekker water maar in den bak, Kameraad!"
8,E1,E1_Farm_localization,Thirsty Ass,"Yeehaw! I don't know what we'd do without you, Trusty.","Hupse! Wa' zouden we zonder'ulle doen hè, Trouwe."
9,E1,E1_Farm_localization,Thirsty Ass,"To be honest, I'd have gon' done it myself, but I wanna be right here when Nice Ass takes a break from her plowin'.","Eerlijk gezegd had'k het zelf willen doen, maar 'k zou graag hier zijn wanneer Schoon Beest haar pauzeke pakt."
10,E1,E1_Farm_localization,Thirsty Ass,"Ever since she got laid off, and replaced by that dang Tractor-Machine, it's like she's forgotten all about me.","Sinds da' z'ontslagen is, en door die Traktor-Machine vervangen is, herkent ze me precies niet meer."
11,E1,E1_Farm_localization,Thirsty Ass,We never get to have casual sex anymore.,Zelf ne'keer poepen zit er niet in!
12,E1,E1_Farm_localization,Thirsty Ass,What's the point in being castrated if you can't have casual sex!,Waarom laat ik mezelf castreren om d'rna niet meer te kunnen poepen!
13,E1,E1_Farm_localization,Thirsty Ass,... zzz... zzz...,...zzz... zzz...
14,E1,E1_TheProtest_localization,Thirsty Ass,"It's a damn sour swallow, but yer right. We can't let Old Ass's death be in vain.","T'é nen zure dobber maar g'ebt gelijk. We kunnen Ouwe niet voor niks laten sterven, héé!"
15,E1,E1_TheProtest_localization,Thirsty Ass,*gulp*,*gulp*
16,E1,E1_TheProtest_localization,Thirsty Ass,...but I don't see Nice Ass nowhere...?,...maar ik kan Schoon Beest nergens zien...?
17,E1,E1_TheProtest_localization,Thirsty Ass,YEEEHAAWWW I'M IN!,JIE-HAAA! IK ZEN ER!
18,E1,E1_TheProtest_localization,Thirsty Ass,They need to be reminded of how darn useful our labour truly is!,Laat ze nog maar eens beseffen hoe veel gebruik ze van ons labeur maken!
19,E1,E1_TheProtest_localization,Thirsty Ass,"They've been takin' away our livelihood, and giving us the ding dang Needle!","Ze nemen ons brood af, en in de plaats, krijgen we Spuiten!"
20,E1,E1_TheProtest_localization,Thirsty Ass,Spoken like a true Ass. YEEHAW!,"Gelijk 'nen echte ezel gesproken, héé!"
21,E1,E1_TheProtest_localization,Thirsty Ass,Dang.,Amai.
22,E1,E1_TheProtest_localization,Thirsty Ass,DAMN! The Protest is ruined!,Godverdomme! Het Protest is naar de kloten!
23,E1,E1_TheProtest_localization,Thirsty Ass,They gave him the ding dang Needle!,"Ze hebbe'n hem 't Spuitje geven, héé!"
24,E1,E1_TheProtest_localization,Thirsty Ass,I used to work 'round here in the ol' days! There's a WELL nearby!,"Zég, ik herinner mij hier dat d'er hier gewoon ne PUT dichtbij is. Ik weet dat nog heel goed, ik heb hier nog gewerkt, héé!"
25,E1,E1_TheProtest_localization,Thirsty Ass,YEEHAW! I can taste it! Let's git some water and put out these dang fires!,"JIE-HAAA! Ik kan het bijna proeven, sie! Kom, we gaan water halen en da' gedoe hier blussen!"
26,E1,E1_TheProtest_localization,Thirsty Ass,"C'mon, git CRACKIN'!","Kom, VOORUIT MET DE GEIT!"
27,E1,E1_TheProtest_localization,Thirsty Ass,Aw shucks. There's no dang water in the damn Well!,"Potverdikke, héé! D'er zit gewoon geen water in diene Put!"
28,E2,E2_World_A1_localization,Thirsty Ass,DAMN! The Protest is broken!,GODVER! Het Protest valt uiteen!
