index,episode,sheet,speaker,english,dutch
1,E4,E4_AstralPlaneMain_localization,Tight Ass,And that's why no Ass leaves the Astral Plane!,En dat is waarom geen enkele Ezel het Astrale Hiernamaals verlaat!
2,E4,E4_AstralPlaneMain_localization,Tight Ass,"If you try to leave to get reassigned, what are you???","Als je probeert weg te gaan om herverkoren te worden, wat ben je dan???"
3,E4,E4_AstralPlaneMain_localization,Tight Ass,"Say it again! If you leave, you are a—","Opnieuw! Als je weggaat, ben je een —"
4,E4,E4_AstralPlaneMain_localization,Tight Ass,That's right!,Inderdaad!
5,E4,E4_AstralPlaneMain_localization,Tight Ass,Whoa whoa whoa! Where do you think you're going?,Wow wow wow! Waar denk jij wel niet waar je heen gaat?
6,E4,E4_AstralPlaneMain_localization,Tight Ass,"You're not a Loser, are you? No one leaves the Astral Plane on my watch!","Jij bent toch geen Loser, hé? Niemand loopt van het Astrale Hiernamaals weg terwijl ik iets te zeggen heb!"
7,E4,E4_AstralPlaneMain_localization,Tight Ass,And I don't leave this tunnel for anything!,En ik ben deze tunnel niet voor niets uitgekomen!
8,E4,E4_AstralPlaneMain_localization,Tight Ass,"Except, of course, for DJ Dope Ass's Astral Trap Concert.","Buiten, natuurlijk, DJ Lijpe Ezel's Astrale Trap Concert."
9,E4,E4_AstralPlaneMain_localization,Tight Ass,The Gods aren't gonna miss you. Haha.,De Goden zullen jou niet missen. Haha.
10,E4,E4_AstralPlaneMain_localization,Tight Ass,It's starting! It's starting!,Het begint! Het begint!
