index,episode,sheet,speaker,english,dutch
1,E5,E5_CircusMain_localization,Wedgie,Where's the last donkey?,Waar zit de laatste ezel?
2,E5,E5_CircusMain_localization,Wedgie,All right donkey. Get in the truck.,"Kom, ezel. De camion in."
3,E5,E5_CircusMain_localization,Wedgie,"Let's catch it quick, we're not being paid for overtime.","Laten we hem snel vangen, we krijgen onze overuren niet uitbetaald."
4,E5,E5_CircusMain_localization,Wedgie,"He's a circus hack, not an evil genius, you idiot.","Hij is een circuscharlatan, geen boosaardig genie, domkop."
5,E5,E5_CircusMain_localization,Wedgie,*wheeze* Screw it. Let's leave it and take the others.,*puf puf* Laat vallen. We zijn weg. We vangen de rest wel.
6,E5,E5_CircusMain_localization,Wedgie,I'm outta here!!,Ik ben hier weg!!
7,E5,E5_ZooCapture_localization,Wedgie,We had a deal!,We hadden een afspraak!
8,E5,E5_ZooCapture_localization,Wedgie,Fine... here's your money.,Allez dan... hier is uw geld.
9,E5,E5_ZooCapture_localization,Wedgie,These the donkeys?,Dit de ezels?
10,E5,E5_ZooCapture_localization,Wedgie,Here's your money.,Hier is uw geld.
11,E5,E5_ZooCapture_localization,Wedgie,Come on! Let's catch 'em all!,Kom op! We vangen ze allemaal!
12,E5,E5_ZooCapture_localization,Wedgie,Wasn't there another one?,Was er geen andere nog?
13,E7,E7_Opening_localization,Wedgie,Settle down—we're on break!,Kalm aan—we hebben pauze!
14,E7,E7_Opening_localization,Wedgie,Cool it.,Kalm aan.
15,E7,E7_Opening_localization,Wedgie,"If we worked in Slaughter or Shipping, sure, maybe we could be replaced.","Moesten we bij de slager of logistiek werken, ja, dan konden we misschien vervangen worden."
16,E7,E7_Opening_localization,Wedgie,But us? No way.,Maar wij? Geen schijn van kans.
17,E7,E7_Opening_localization,Wedgie,You can't replace Animal Handling. It's an ART.,Je kunt het Ezelzeulen niet vervangen. Dat is een KUNST.
18,E7,E7_Opening_localization,Wedgie,Robots?!,Robots?!
19,E7,E7_Opening_localization,Wedgie,When was the last time you saw a Robot?,Wanneer heb jij voor het laatst een Robot gezien?
20,E7,E7_Opening_localization,Wedgie,"There's a difference between a Machine and a Robot, idiot.","Er is een verschil tussen een Machine en een Robot, domkop."
21,E7,E7_Opening_localization,Wedgie,What are you talking about? We don't have self-locking cages.,Waar heb je het over? We hebben geen zelfsluitende kooien.
22,E7,E7_SlaughterWaitingRoom_localiz,Wedgie,"Quit your braying, you idiot!","Hou op met dat gebalk, domkop!"
