index,episode,sheet,speaker,english,dutch
1,E1,E1_TrustysDream_localization,???,Trusty Ass! Wake up! WAKE UP!,Trouwe! Opstaan! OPSTAAN!
2,E2,E2_ChildsHouse_localization,???,*WAHHH*!,*WEEEEEEEEI*!
3,E2,E2_MinersHouse_localization,???,A donkey? How'd you get here from the Mines?,Een ezel? Hoe ben jij hier van de Mijnen geraakt?
4,E2,E2_ButtesHouse_localization,???,*glug glug* Is someone there?,*slok slok* Wie is daar?
5,E2,E2_ButtesHouse_localization,???,Is that a donkey?,Is dat een ezel?
6,E3,E3_LazysGrave_localization,???,Hi.,Hoi.
7,E3,E3_BadCave_localization,???,Fuck. Go away!,Fuck. Ga weg!
8,E5,E5_ZooMain_localization,???,"Hello beautiful, don't you look soft!","Dag schoonheid, wat zie jij er zacht uit!"
9,E6,E6_World_localization,???,*huff p-puff*,*huff p-puf*
10,E7,E7_Holding1_localization,???,Don't bother looking for your friend.,Doe geen moeite om naar uw vriend te zoeken.
11,E7,E7_Holding1_localization,???,It's too late for him.,Het is te laat voor hem.
12,E9,E9_GoldenAss_localization,???,*COUGH*,"""*KUCH*"""
