speaker,episode,sheet,context,english,utterer_key
???,E1,E1_TrustysDream_localization,Trusty's dream is interrupted by a voice.,Trusty Ass! Wake up! WAKE UP!,SAY.Dialog:Wake up!.1.???
???,E2,E2_ChildsHouse_localization,Hard enters a house to find a child trapped under a bookcase.,*WAHHH*!,SAY.Dialog:Child.7.???
???,E2,E2_MinersHouse_localization,Hard Ass enters the house of Miner Jenny.,A donkey? How'd you get here from the Mines?,SAY.Dialog:Miner.1.???
???,E2,E2_ButtesHouse_localization,"Upon heading upstairs, Hard Ass finds Mr. Butte, who is drunk.",*glug glug* Is someone there?,SAY.Dialog:Butte.1.???
???,E2,E2_ButtesHouse_localization,,Is that a donkey?,SAY.Dialog:Butte.8.???
???,E3,E3_LazysGrave_localization,The Foal finds herself in a new area of the Mine. A mysterious voice calls out.,Hi.,SAY.Dialog:MeetingLazy.1.???
???,E3,E3_BadCave_localization,The camera moves to reveal the mysterious voice. It's Bad Ass.,Fuck. Go away!,SAY.Dialog:PreDonkeyBas.25.???
???,E5,E5_ZooMain_localization,Optional dialogue. Mme. Derriere appears at the fence at the end of the day.,"Hello beautiful, don't you look soft!",SAY.Dialog:TeamRocketEasterEgg.3.???
???,E6,E6_World_localization,,*huff p-puff*,SAY.Dialog:BottomsUpOpening.141.???
???,E7,E7_Holding1_localization,,Don't bother looking for your friend.,SAY.Dialog:Opening.36.???
???,E7,E7_Holding1_localization,,It's too late for him.,SAY.Dialog:Opening.102.???
???,E9,E9_GoldenAss_localization,,*COUGH*,SAY.Dialog:Meeting.23.???
{$NewName},E3,E3_Mine1FOpening_localization,The screen fades up from black to reveal Sturdy listening to the Foal (her now-born daughter).,"Comrade Mother, will this crappy weather ever end?",SAY.Dialog:ScavengersReturn.116.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm cold.,SAY.Dialog:ScavengersReturn.1.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm hungry.,SAY.Dialog:ScavengersReturn.118.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'm damp.,SAY.Dialog:ScavengersReturn.117.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,And worst of all...,SAY.Dialog:ScavengersReturn.115.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,I'M BORED.,SAY.Dialog:ScavengersReturn.114.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,Is work...really thaaaaaaat great?,SAY.Dialog:ScavengersReturn.99.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,But Comrade Mother...,SAY.Dialog:ScavengersReturn.103.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,What if I don't want to work...?,SAY.Dialog:ScavengersReturn.105.{$NewName}
{$NewName},E3,E3_Mine1FOpening_localization,,What if I want to jump around and explore?,SAY.Dialog:ScavengersReturn.107.{$NewName}
