# File: 0_asses.masses_Manager+Intermissions+E0Proxy
# Processed: 2025-08-21T22:17:44.106Z
# Sheets: 9

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
2,ManagerScene_localization,"",CAMARADES,WRITE.ManagerCanvasUiTextFlowchart.1,COMRADES,"",2025-08-21T22:17:44.106Z
3,ManagerScene_localization,"",MORAL,WRITE.ManagerCanvasUiTextFlowchart.2,MORALE,"",2025-08-21T22:17:44.106Z
4,ManagerScene_localization,"",Honradase,WRITE.ManagerCanvasUiTextFlowchart.5,Trusty Ass,"",2025-08-21T22:17:44.106Z
5,ManagerScene_localization,"",Bellase,WRITE.ManagerCanvasUiTextFlowchart.15,Nice Ass,"",2025-08-21T22:17:44.106Z
6,ManagerScene_localization,"",Grandase,WRITE.ManagerCanvasUiTextFlowchart.14,Big Ass,"",2025-08-21T22:17:44.106Z
7,ManagerScene_localization,"",Eixutase,WRITE.ManagerCanvasUiTextFlowchart.12,Thirsty Ass,"",2025-08-21T22:17:44.106Z
8,ManagerScene_localization,"",Llestase,WRITE.ManagerCanvasUiTextFlowchart.13,Smart Ass,"",2025-08-21T22:17:44.106Z
9,ManagerScene_localization,"",Coixase,WRITE.ManagerCanvasUiTextFlowchart.11,Slow Ass,"",2025-08-21T22:17:44.106Z
10,ManagerScene_localization,"",Ferase,WRITE.ManagerCanvasUiTextFlowchart.10,Kick Ass,"",2025-08-21T22:17:44.106Z
11,ManagerScene_localization,"",Feblase,WRITE.ManagerCanvasUiTextFlowchart.9,Sick Ass,"",2025-08-21T22:17:44.106Z
12,ManagerScene_localization,"",Fortalase,WRITE.ManagerCanvasUiTextFlowchart.8,Hard Ass,"",2025-08-21T22:17:44.106Z
13,ManagerScene_localization,"",Tossudase,WRITE.ManagerCanvasUiTextFlowchart.7,Sturdy Ass,"",2025-08-21T22:17:44.106Z
14,ManagerScene_localization,"",Tristase,WRITE.ManagerCanvasUiTextFlowchart.6,Sad Ass,"",2025-08-21T22:17:44.106Z
15,ManagerScene_localization,"",Màquina Roca,WRITE.ManagerCanvasUiTextFlowchart.16,Cole-Machine,"",2025-08-21T22:17:44.106Z
2,CharacterProfiles_localization,"","",CHARACTER.Character Name,Character Name,"",2025-08-21T22:17:44.106Z
3,CharacterProfiles_localization,Main Donkeys,{$NewName},CHARACTER.{$NewName},{$NewName},{$NewName},2025-08-21T22:17:44.106Z
4,CharacterProfiles_localization,"",Vellase,CHARACTER.Old Ass,Old Ass,"",2025-08-21T22:17:44.106Z
5,CharacterProfiles_localization,"",Honradase,CHARACTER.Trusty Ass,Trusty Ass,"",2025-08-21T22:17:44.106Z
6,CharacterProfiles_localization,"",Bellase,CHARACTER.Nice Ass,Nice Ass,"",2025-08-21T22:17:44.106Z
7,CharacterProfiles_localization,"",Grandase,CHARACTER.Big Ass,Big Ass,"",2025-08-21T22:17:44.106Z
8,CharacterProfiles_localization,"",Eixutase,CHARACTER.Thirsty Ass,Thirsty Ass,"",2025-08-21T22:17:44.106Z
9,CharacterProfiles_localization,"",Llestase,CHARACTER.Smart Ass,Smart Ass,"",2025-08-21T22:17:44.106Z
10,CharacterProfiles_localization,"",Coixase,CHARACTER.Slow Ass,Slow Ass,"",2025-08-21T22:17:44.106Z
11,CharacterProfiles_localization,"",Ferase,CHARACTER.Kick Ass,Kick Ass,"",2025-08-21T22:17:44.106Z
12,CharacterProfiles_localization,"",Feblase,CHARACTER.Sick Ass,Sick Ass,"",2025-08-21T22:17:44.106Z
13,CharacterProfiles_localization,"",Fortalase,CHARACTER.Hard Ass,Hard Ass,"",2025-08-21T22:17:44.106Z
14,CharacterProfiles_localization,"",Tossudase,CHARACTER.Sturdy Ass,Sturdy Ass,"",2025-08-21T22:17:44.106Z
15,CharacterProfiles_localization,"",Tristase,CHARACTER.Sad Ass,Sad Ass,"",2025-08-21T22:17:44.106Z
16,CharacterProfiles_localization,"",Perase,CHARACTER.Lazy Ass,Lazy Ass,"",2025-08-21T22:17:44.106Z
17,CharacterProfiles_localization,"",Rudase,CHARACTER.Bad Ass,Bad Ass,"",2025-08-21T22:17:44.106Z
18,CharacterProfiles_localization,"",Màquina Roca,CHARACTER.Cole-Machine,Cole-Machine,"",2025-08-21T22:17:44.106Z
19,CharacterProfiles_localization,"",Ase d'Or,CHARACTER.Golden Ass,Golden Ass,"",2025-08-21T22:17:44.106Z
20,CharacterProfiles_localization,"",El Ramat,CHARACTER.The Masses,The Masses,"",2025-08-21T22:17:44.106Z
21,CharacterProfiles_localization,The Gods,IHH,CHARACTER.Hee,Hee,"",2025-08-21T22:17:44.106Z
22,CharacterProfiles_localization,"",AHH,CHARACTER.Haw,Haw,"",2025-08-21T22:17:44.106Z
23,CharacterProfiles_localization,"",ELS DÉUS,CHARACTER.THE GODS,THE GODS,"",2025-08-21T22:17:44.106Z
24,CharacterProfiles_localization,Circus/Farm Animals,Ovella,CHARACTER.Sheep,Sheep,"",2025-08-21T22:17:44.106Z
25,CharacterProfiles_localization,"",Elefant Eli,CHARACTER.Elephant,Eli the Elephant,"",2025-08-21T22:17:44.106Z
26,CharacterProfiles_localization,"",Porc,CHARACTER.Pig,Pig,"",2025-08-21T22:17:44.106Z
27,CharacterProfiles_localization,"",Corb,CHARACTER.Cow,Cow,"",2025-08-21T22:17:44.106Z
28,CharacterProfiles_localization,Humans,Humà,CHARACTER.Human,Human,"",2025-08-21T22:17:44.106Z
29,CharacterProfiles_localization,"","",CHARACTER.Melvin,Ass Handler Melvin,"",2025-08-21T22:17:44.106Z
30,CharacterProfiles_localization,"","",CHARACTER.Wedgie,Ass Handler Wedgie,"",2025-08-21T22:17:44.106Z
31,CharacterProfiles_localization,"",Madame Paner,CHARACTER.Mme. Derriere,Mme. Derriere,"",2025-08-21T22:17:44.106Z
