# File: 11_asses.masses_NonCSVBasedTranslations
# Processed: 2025-12-29T22:52:03.371Z
# Sheets: 12

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
2,Other Translations,,na,na,Foal Name Controller,asina,2025-12-29T22:52:03.371Z
3,Other Translations,Farm,1,1,Sign_FannysideFlour,Farine Culonia,2025-12-29T22:52:03.371Z
4,Other Translations,Farm,1,1,Sign_FannysideFlourBurned,Farine Culonia,2025-12-29T22:52:03.371Z
5,Other Translations,Stable2f,1,1,Inelligble Foal Names,"",2025-12-29T22:52:03.371Z
6,Other Translations,TheProtest,1,1,Sign_BumpkinVillage,Borgo Bifolco,2025-12-29T22:52:03.371Z
7,Other Translations,Fannyside,1,1,Sign_MineName,Latrivella,2025-12-29T22:52:03.371Z
8,Other Translations,TheWell,1,1,Flashing text,IIH,2025-12-29T22:52:03.371Z
54,Other Translations,TheSex,1,1,Sex Accuracy PopUp: Meh,Mancato,2025-12-29T22:52:03.371Z
55,Other Translations,TheSex,1,1,Sex Accuracy PopUp: Meh,Bah,2025-12-29T22:52:03.371Z
56,Other Translations,TheSex,1,1,Sex Accuracy PopUp: Meh,Buono,2025-12-29T22:52:03.371Z
57,Other Translations,TheSex,1,1,Sex Accuracy PopUp: Meh,Grande,2025-12-29T22:52:03.371Z
58,Other Translations,TheSex,1,1,Sex Accuracy PopUp: Meh,Perfetto,2025-12-29T22:52:03.371Z
59,Other Translations,TheFarm,1,1,Stable Sign,Stalla,2025-12-29T22:52:03.371Z
60,Other Translations,TheFarm,1,1,Mill Sign,Mulino,2025-12-29T22:52:03.371Z
61,Other Translations,The Protest,1,1,Theatre Sign,Teatro,2025-12-29T22:52:03.371Z
62,Other Translations,E3_100,3,3,CircusAds in newspaper,Circo di Mirco,2025-12-29T22:52:03.371Z
63,Other Translations,,,,Zoo Name,"",2025-12-29T22:52:03.371Z
64,Other Translations,E3_100,3,3,Job Ad Derriere Name,De Ricchis,2025-12-29T22:52:03.371Z
65,Other Translations,E3_LazysGrave,3,3,Wallet,"",2025-12-29T22:52:03.371Z
66,Other Translations,E3_LazysGrave,3,3,Wallet,"",2025-12-29T22:52:03.371Z
67,Other Translations,Goodbye,4,4,Song of Ascension phonemes (See SendingText.PSD),iih ooh hi hon 'ee oh he o'w,2025-12-29T22:52:03.371Z
68,Other Translations,Hwy,5,5,Derriere Truck Sign,De Ricchis,2025-12-29T22:52:03.371Z
69,Other Translations,Hwy,5,5,Boredom is Freedom,La Noia è Libertà,2025-12-29T22:52:03.371Z
70,Other Translations,Hwy,5,5,Prophet Sign,Il Profeta Tornerà chiama 1-455-credici,2025-12-29T22:52:03.371Z
71,Other Translations,Hwy,5,5,Jack's Diner,Al Covo,2025-12-29T22:52:03.371Z
72,Other Translations,Hwy,5,5,Gas sign,Benzina self-service,2025-12-29T22:52:03.371Z
73,Other Translations,World,6,6,Slow Story Derriere Name,De Ricchis,2025-12-29T22:52:03.371Z
74,Other Translations,Opening,7,7,Derriere Assorted Meats Sign,De Ricchis – Carni assortite e Prodotti di bellezza,2025-12-29T22:52:03.371Z
75,Other Translations,Opening,7,7,Enlightenment Solutions,Soluzioni Illuminazione,2025-12-29T22:52:03.371Z
76,Other Translations,Opening,7,7,ProgressLabs,Laboratori e-Splodo,2025-12-29T22:52:03.371Z
77,Other Translations,Opening,7,7,Mecha City Art Gallery,Galleria d'Arte di Meccanopoli,2025-12-29T22:52:03.371Z
78,Other Translations,Opening,7,7,Centre for Social Justice,Centro per la Giustizia Sociale De Ricchis,2025-12-29T22:52:03.371Z
79,Other Translations,Opening,7,7,Aspire,Aspira a di più,2025-12-29T22:52:03.371Z
80,Other Translations,Opening,7,7,Green Future,Futuro Green,2025-12-29T22:52:03.371Z
81,Other Translations,Opening,7,7,Mecha City Research Centre,Centro di Ricerca di Meccanopoli,2025-12-29T22:52:03.371Z
82,Other Translations,Opening,7,7,Mecha U Aspire to Excellence,UniMecca – Aspirare all'eccellenza,2025-12-29T22:52:03.371Z
83,Other Translations,Opening,7,7,Institute for Progress,Istituto per il Progresso,2025-12-29T22:52:03.371Z
84,Other Translations,Opening,7,7,Derriere Law Firm and Associates,Studio Legale De Ricchis & Associati,2025-12-29T22:52:03.371Z
85,Other Translations,Opening,7,7,Derriere Innovation Hub,Polo d'Innovazione De Ricchis,2025-12-29T22:52:03.371Z
86,Other Translations,Opening,7,7,Ms. Fission,DR,2025-12-29T22:52:03.371Z
87,Other Translations,Opening,7,7,Red D,DR,2025-12-29T22:52:03.371Z
88,Other Translations,Opening,7,7,Gold D,DR,2025-12-29T22:52:03.371Z
89,Other Translations,BigBattle,7,7,Robotics,Robotica,2025-12-29T22:52:03.371Z
90,Other Translations,Ripping,9,9,Jack's dinner background,Al Covo,2025-12-29T22:52:03.371Z
91,Other Translations,Ripping,9,9,MIT letter acceptance letter,UniMecca / Pietro Latrivella,2025-12-29T22:52:03.371Z
92,Other Translations,Ripping,9,9,MIT letter being burned,UniMecca / Pietro Latrivella,2025-12-29T22:52:03.371Z
93,Other Translations,Ripping,9,9,Song of Ascension,iih ooh hi hon 'ee oh he o'w,2025-12-29T22:52:03.371Z
95,Other Translations,Ripping,9,9,Flashing text,BENVENUTO,2025-12-29T22:52:03.371Z
102,Other Translations,ProphetSpeech,10,10,Manual backups for Manifesto,Cedete del territorio agli Asini.,2025-12-29T22:52:03.371Z
103,Other Translations,,,,"NOTE: These are for if something happens and the game crashes between the Government Manifesto and the Prophet Speech, these will be used for the Manifesto speech at the end. Written in E10_ProphetSpeech script",Supportate e apprezza le imprese creative degli Asini.,2025-12-29T22:52:03.371Z
5,E10_Words_English,,the spark,the spark,the inevitable,"",2025-12-29T22:52:03.371Z
8,E10_Words_English,the Machine Prophet,,,and the asses from Fannyside,"",2025-12-29T22:52:03.371Z
5,E10_Words_Korean,,the spark,the spark,the inevitable,"",2025-12-29T22:52:03.371Z
6,E10_Words_Korean,,불꽃,불꽃,필연,"",2025-12-29T22:52:03.371Z
8,E10_Words_Korean,the Machine Prophet,,,and the asses from Fannyside,"",2025-12-29T22:52:03.371Z
9,E10_Words_Korean,기계 선지자,,,그리고 엉덩면에서 온 당나귀들,Nice Ass,2025-12-29T22:52:03.371Z
5,E10_Words_Japanese,,火花,火花,必然,"",2025-12-29T22:52:03.371Z
8,E10_Words_Japanese,機械預言者,,,そしてファニーサイドのロバたち,"",2025-12-29T22:52:03.371Z
5,E10_Words_Espanol,,la chispa,la chispa,lo inevitable,"",2025-12-29T22:52:03.371Z
8,E10_Words_Espanol,la Máquina-Profeta,,,y los asnos de Las Posaderas,"",2025-12-29T22:52:03.371Z
5,E10_Words_French,,l'étincelle,l'étincelle,l'inévitable,"",2025-12-29T22:52:03.371Z
8,E10_Words_French,la Machine-Prophète,,,et les ânes de Niquedouille,"",2025-12-29T22:52:03.371Z
5,E10_Words_Portuguese,,a faísca,a faísca,o invitável,"",2025-12-29T22:52:03.371Z
8,E10_Words_Portuguese,a Profeta-Máquina,,,e os Asnos de Santa Caipira,"",2025-12-29T22:52:03.371Z
5,E10_Words_Italian,,la scintilla,la scintilla,l'inevitabile,"",2025-12-29T22:52:03.371Z
8,E10_Words_Italian,la Macchina-Profeta,,,e gli Asini di Culonia,"",2025-12-29T22:52:03.371Z
5,E10_Words_German,,der Funke,der Funke,das Unvermeidliche,"",2025-12-29T22:52:03.371Z
8,E10_Words_German,die Prophet-Maschine,,,und die Esel von Po-der-Welt,"",2025-12-29T22:52:03.371Z
5,E10_Words_Turkish,,kıvılcım,kıvılcım,kaçınılmaz,"",2025-12-29T22:52:03.371Z
8,E10_Words_Turkish,Makine Peygamber,,,Anıran'ın Eşekleri,"",2025-12-29T22:52:03.371Z
5,E10_Words_Catalan,,la guspira,la guspira,l'inevitable,"",2025-12-29T22:52:03.371Z
8,E10_Words_Catalan,la Màquina-Profeta,,,i els ases de Talldevall,"",2025-12-29T22:52:03.371Z
4,FONT Tracker,Status,Fonts,Fonts,S-sedilla,"",2025-12-29T22:52:03.371Z
5,FONT Tracker,Done,Reactor7,Reactor7,x,"",2025-12-29T22:52:03.371Z
6,FONT Tracker,Done,Beth Ellen,Beth Ellen,x,"",2025-12-29T22:52:03.371Z
7,FONT Tracker,Done,GreenwichMean,GreenwichMean,x,"",2025-12-29T22:52:03.371Z
