# File: 2_asses.masses_E2Proxy
# Processed: 2025-12-29T22:52:03.604Z
# Sheets: 15

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
2,E2_EpisodeTitle_localization,Title screen UI.,WRITE.Dialog:Localizer.5,WRITE.Dialog:Localizer.5,EPISODE TWO,AFLEVERING TWEE,2025-12-29T22:52:03.604Z
3,E2_EpisodeTitle_localization,Title screen UI.,WRITE.Dialog:Localizer.7,WRITE.Dialog:Localizer.7,THE FIRE,DE BRAND,2025-12-29T22:52:03.604Z
4,E2_EpisodeTitle_localization,Title screen UI.,WRITE.Dialog:Localizer.8,WRITE.Dialog:Localizer.8,Press X to Begin,Druk X om te beginnen,2025-12-29T22:52:03.604Z
3,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_TheMines_Dirty.1.Dirty Sign,SAY.Sign_TheMines_Dirty.1.Dirty Sign,Butte Industry Coal Mines,Vanscheetvelde Industrie en Kolen,2025-12-29T22:52:03.604Z
4,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_TheMinesEntrance_Warning.1.Warning Sign,SAY.Sign_TheMinesEntrance_Warning.1.Warning Sign,364 DAYS SINCE LAST MINING ACCIDENT,364 DAGEN SINDS LAATSTE INCIDENT,2025-12-29T22:52:03.604Z
5,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_WelcomeToFarm_Welcome.1.Welcome Sign,SAY.Sign_WelcomeToFarm_Welcome.1.Welcome Sign,"Welcome to Fannyside Farm. To the west, our beautiful Heritage Stable and wheat fields.","Welkom op de Boerderij van Muilegem. Ten westen, onze prachtige Erfgoedshoeve en korenvelden.",2025-12-29T22:52:03.604Z
6,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_WelcomeToFarm_Welcome.2.Welcome Sign,SAY.Sign_WelcomeToFarm_Welcome.2.Welcome Sign,"To the south, our state of the art Mill and Granary.","Naar 't zuiden, onze hoogmoderne Molen en Graanschuur.",2025-12-29T22:52:03.604Z
7,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_Highway_Official.1.Official Sign,SAY.Sign_Highway_Official.1.Official Sign,NEW Government Sponsored Highway: Connecting Urban and Rural Communities,NIEW Overheids-gesubsidiëerde snelweg: brengt stedelijke en landelijke regios in verbinding.,2025-12-29T22:52:03.604Z
8,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_MountainPath_Decrepit.1.Decrepit Sign,SAY.Sign_MountainPath_Decrepit.1.Decrepit Sign,The Long Way to the Forest Shrine,De Lange Weg Naar 't Schrijn in 't Bos.,2025-12-29T22:52:03.604Z
9,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_MountainPath_Decrepit.6.Decrepit Sign,SAY.Sign_MountainPath_Decrepit.6.Decrepit Sign,CLOSED FOR REPAIRS,GESLOTEN WEGENS ONDERHOUD,2025-12-29T22:52:03.604Z
10,E2_World_A1_localization,Interactable Object, Sign.,SAY.Sign_Mill_Fancy.1.Fancy Sign,SAY.Sign_Mill_Fancy.1.Fancy Sign,The State of the Art Mill and Granary,De hoogmoderne Molen en Graanschuur.,2025-12-29T22:52:03.604Z
