# File: READ_ME_Localization
# Processed: 2025-08-21T22:17:44.948Z
# Sheets: 14

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
5,Export Summary,Numbers Table Name,"",Numbers Sheet Name,Excel Worksheet Name,"",2025-08-21T22:17:44.948Z
8,Export Summary,Table 1,"","",Localization Manual,"",2025-08-21T22:17:44.948Z
10,Export Summary,Table 1,"","",Names and World Overview,"",2025-08-21T22:17:44.948Z
12,Export Summary,Table 1,"","",KO Wordplay,"",2025-08-21T22:17:44.948Z
14,Export Summary,Table 1,"","",JP Wordplay,"",2025-08-21T22:17:44.948Z
16,Export Summary,Table 1,"","",CA Wordplay,"",2025-08-21T22:17:44.948Z
18,Export Summary,Table 1,"","",NL Wordplay,"",2025-08-21T22:17:44.948Z
20,Export Summary,Table 1,"","",Spanish Wordplay,"",2025-08-21T22:17:44.948Z
22,Export Summary,Table 1,"","",Turkish Wordplay,"",2025-08-21T22:17:44.948Z
24,Export Summary,Table 1,"","",Characters,"",2025-08-21T22:17:44.948Z
26,Export Summary,Table 1,"","",German,"",2025-08-21T22:17:44.948Z
28,Export Summary,Table 1,"","",Timeline,"",2025-08-21T22:17:44.948Z
30,Export Summary,Table 1,"","",Testing,"",2025-08-21T22:17:44.948Z
32,Export Summary,Table 1,"","",French word play,"",2025-08-21T22:17:44.948Z
19,Localization Manual,Female,"","",Trusty,"",2025-08-21T22:17:44.948Z
20,Localization Manual,Female,"","",Nice,"",2025-08-21T22:17:44.948Z
21,Localization Manual,Female,"","",Sturdy,"",2025-08-21T22:17:44.948Z
22,Localization Manual,Female,"","",Sick,"",2025-08-21T22:17:44.948Z
23,Localization Manual,Female,"","",Lazy,"",2025-08-21T22:17:44.948Z
24,Localization Manual,Female,"","",Foal,"",2025-08-21T22:17:44.948Z
25,Localization Manual,Female,"","",Smart,"",2025-08-21T22:17:44.948Z
26,Localization Manual,Male,"","",Kick,"",2025-08-21T22:17:44.948Z
27,Localization Manual,Male,"","",Big,"",2025-08-21T22:17:44.948Z
28,Localization Manual,Male,"","",Thirsty,"",2025-08-21T22:17:44.948Z
29,Localization Manual,Male,"","",Hard,"",2025-08-21T22:17:44.948Z
30,Localization Manual,Male,"","",Sad,"",2025-08-21T22:17:44.948Z
31,Localization Manual,Male,"","",Old,"",2025-08-21T22:17:44.948Z
32,Localization Manual,Male,"","",Bad,"",2025-08-21T22:17:44.948Z
33,Localization Manual,Male,"","",Slow,"",2025-08-21T22:17:44.948Z
4,Names and World Overview,Trusty Ass,Foal (named by audience),Character Name,Old Ass,Bad Ass,2025-08-21T22:17:44.948Z
5,Names and World Overview,Female,female,Sex,Male,Male,2025-08-21T22:17:44.948Z
6,Names and World Overview,"First met as more of a listener than a leader, she is accepted as Old Ass's second in command. When she dies, she longs to be reassigned so that she can become a better leader.","Born after the fire in Episode 2, she has never known a world of Humans. She just wants to play. She's very naive.",Description,Classic Marxist/Leninist leader. Inspires the heard in his lofty speeches.,"A radical that wants to be left alone

Pessimistic Edgy Philosophical and Political

Is actually a Human who was turned into a donkey by the Gods by accident. (see Cole Butte below)",2025-08-21T22:17:44.948Z
7,Names and World Overview,Never speaks until Ep 8.,"""Whoppee!"" ""WHOA"" ""UGH""  

What if I want to play?",Dialog convention,"""Now where was I... Right... I was lamenting the struggles of our existence.""

Injustice
Protest
Politics","Critical theory, philosophical, generally contemporary jaded leftist",2025-08-21T22:17:44.948Z
9,Names and World Overview,Confianzurra,urra,Spanish,Viejurro,Cinicurro,2025-08-21T22:17:44.948Z
10,Names and World Overview,Const-ânne,-anne,French,Âne-cien,Dissid-âne,2025-08-21T22:17:44.948Z
