# File: READ_ME_LocalizationManual
# Processed: 2025-12-29T08:53:11.398Z
# Sheets: 1

RowNumber,SheetName,Context,Key,Utterer,SourceEnglish,TranslatedDutch,ProcessedAt
4,Names and World Overview,Character,Character Name,,Trusty Ass,Biechtezel,2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Old Ass,"Roste Rakker, Oude Smok",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Nice Ass,"Zaligezel, Schoonbeest",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Big Ass,"Grote Moker, Logzak",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Thirsty Ass,"Dorstklak, Zuipkeutel",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Smart Ass,"Slimmerik, Wijsnezel",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Slow Ass,"Traage Gast, Sloefezel",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Sturdy Ass,"Baksteen, Betonbeest",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Bad Ass,"Strafbeest, Felle Gast",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Foal (named by audience),-tje,2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Sad Ass,"Bleitsmoel, Zieligezel",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Hard Ass,"Bokvast, Koppige Klak",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Kick Ass,"Stampgast, Trapmuil",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Sick Ass,"Pekelneus, Snotezel",2025-12-29T08:53:11.398Z
4,Names and World Overview,Character,Character Name,,Lazy Ass,"Chillpatat, Luilam, Tamzak",2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Cole Butte / Cole-Machine,Piet Vanscheetvelde,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Hugh G. Butte,Egbert K. Vanscheetvelde,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Sandy Butte,Smaragd Vanscheetvelde,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Miner Jenny,Mijnwerker Jenny,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Child Joey Kulan,Klein Luukske Vermeulen,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Grandma Kulan,Groetmoe Vermeulen,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Mme. Derriere,Mevr. Derrière,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Asshandler Melvin,Zakkenzeuler Zeno,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Asshandler Wedgie,Zakkenzeulster Zita,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Ringmaster Rico,"Çois, de circusdirecteur",2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Zookeeper Rose,Dierenverzorger Dina,2025-12-29T08:53:11.398Z
38,Names and World Overview,Human Character,Character Name,,Radio Host Marcos,DJ Tom,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Prophet-Machine (M),Profetische Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Prophet-Machine (F),Profetische Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Tractor-Machine,Traktor Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Death-Machine,Machine des Doods,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Tank-Machine,Tank Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Flying-Machine,Vlieg Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Truck-Machine,Camion Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Car-Machine,Auto Machine,2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Boring-Machine,"",2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Mystery-Machine,"",2025-12-29T08:53:11.398Z
67,Names and World Overview,Machine,English,,Transformation-Machine,"",2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Fannyside,Muilegem,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Fannyside Farm,De Boerderij van Muilegem,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Bumpkin Village,Klotegem,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Mecha City,Mechalen,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Song of Ascension,ezelenhemelvaartszangderzielen,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Reassignment,Heraanstelling,2025-12-29T08:53:11.398Z
116,Names and World Overview,Location,Place name/Core Concepts,,Astral Plane,het Astrale Hiernamaals,2025-12-29T08:53:11.398Z
